id,sourceFile,sourceIndex,sourceType,section,domain,skill,difficulty,questionType,correctAnswer,reviewStatus,visibility,publicationStatus,severity,issues,warnings,governance,topicKey,skeletonKey
antigravity-0d6d8012,antigravity-bank.json,20,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,condition,v medical screening test for v certain condition has v sensitivity of # the probability that the test is positive given the patient has the condition and v specificity of # the pro
antigravity-d88da3ef,antigravity-bank.json,21,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,produces,v factory has two production lines line v produces # of all items and line v produces # the defect rate for line v is # and the defect rate for line v is # if an item selected at r
antigravity-72ef374a,antigravity-bank.json,22,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,satisfied,v company surveys # employees about job satisfaction satisfied not satisfied total full time # # # part time # # # total # # # if one employee who reported being satisfied is selec
antigravity-a30d92c8,antigravity-bank.json,23,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,marbles,v bag contains # red marbles and # blue marbles two marbles are drawn at random without replacement what is the probability that both marbles are the same color
antigravity-25ad39d0,antigravity-bank.json,24,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,committee,v committee of # people is to be selected at random from v group of # men and # women what is the probability that the committee includes at least one woman
antigravity-7b87211d,antigravity-bank.json,25,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,speakers,researchers studying the sapir whorf hypothesis have found that speakers of languages with obligatory grammatical markers for evidentiality morphemes that indicate the source of v 
antigravity-edd413de,antigravity-bank.json,26,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,shells,ocean acidification caused by the absorption of atmospheric carbon dioxide into seawater which lowers ph poses v particular threat to marine organisms that build calcium carbonate 
antigravity-afe23472,antigravity-bank.json,27,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,acetophenone,epigenetic modifications chemical alterations to dna or its associated proteins that affect gene expression without changing the underlying genetic sequence have been observed to t
antigravity-462fd9a7,antigravity-bank.json,28,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,companies,v # analysis of global supply chain disruptions found that companies maintaining diverse supplier networks across multiple geographic regions experienced on average # shorter recov
antigravity-d9af1aaf,antigravity-bank.json,29,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,reorganization,neuroplasticity research has demonstrated that the adult brain retains v remarkable capacity for structural reorganization following injury studies of stroke patients who underwent
antigravity-8ad352b6,antigravity-bank.json,30,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,basketball,in v certain school # students participate in after school activities of these # play soccer # play basketball and # play both soccer and basketball if v student is selected at ran
antigravity-82811e06,antigravity-bank.json,31,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,dominant,v genetics researcher is studying v trait governed by v single gene with two alleles where the dominant allele v masks the recessive allele v both parents are heterozygous aa they 
antigravity-3c84efe6,antigravity-bank.json,32,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,inspection,v quality control inspector examines products on an assembly line each product has v # chance of passing inspection independently if # products are randomly selected for inspection
antigravity-dae78e84,antigravity-bank.json,33,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,exercises,v survey of # adults collected data on exercise habits and dietary preferences follows v diet plan no diet plan total exercises regularly # # # does not exercise # # # total # # # 
antigravity-f0dccb18,antigravity-bank.json,34,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,impervious,the urban heat island effect in which metropolitan areas are significantly warmer than surrounding rural regions arises primarily from the replacement of vegetation with impervious
antigravity-29b4430c,antigravity-bank.json,35,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,drivers,behavioral economists have documented v cognitive bias known as loss aversion in which individuals experience the psychological pain of losing v given amount approximately twice as
antigravity-9f76ebf7,antigravity-bank.json,36,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,carbon-,radiocarbon dating relies on measuring the ratio of carbon # to carbon # in organic materials as carbon # decays at v known rate after an organism dies however this method assumes 
antigravity-ed99934f,antigravity-bank.json,37,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,participants,research on circadian rhythms has revealed that exposure to blue wavelength light in the evening suppresses melatonin production more effectively than exposure to red or amber wave
antigravity-26fb5464,antigravity-bank.json,38,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,lower-income,sociological research on educational attainment has consistently found that children from higher income families tend to perform better academically than their lower income peers v
antigravity-00ace311,antigravity-bank.json,39,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,probability,two independent servers v and v support v website server v has v # probability of failing on any given day and server v has v # probability of failing on any given day the failures
antigravity-4737c75a,antigravity-bank.json,40,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,performance,v researcher surveyed # college students about their preferred study method and academic performance gpa # gpa # total group study # # # solo study # # # total # # # v student is s
antigravity-054895a0,antigravity-bank.json,41,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,replacement,v jar contains # red balls # green balls and # yellow balls three balls are drawn at random without replacement what is the probability that all three balls drawn are the same colo
antigravity-799e202c,antigravity-bank.json,42,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,umbrella,in v certain city # of days are sunny and # are rainy on sunny days # of residents carry sunglasses and # carry an umbrella on rainy days # carry sunglasses and # carry an umbrella
antigravity-60b49d9c,antigravity-bank.json,43,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,independently,v class of # students takes v quiz each student independently has v # probability of passing what is the expected number of students who pass the quiz
antigravity-bbf5b55e,antigravity-bank.json,44,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,civilizations,the fermi paradox the apparent contradiction between the high probability of extraterrestrial civilizations and the lack of evidence for them has prompted numerous proposed resolut
antigravity-3fda2844,antigravity-bank.json,45,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,plants,photosynthesis in most plants v# pathway is limited by v process called photorespiration in which the enzyme rubisco binds with oxygen instead of carbon dioxide wasting energy v# p
antigravity-a10314db,antigravity-bank.json,46,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,health,archaeologists studying the transition from hunter gatherer to agricultural societies have noted that early farming communities in the fertile crescent show evidence of significant
antigravity-6d8314b6,antigravity-bank.json,47,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,pollution,v study of noise pollution in urban environments found that residents living within # meters of major highways had cortisol levels approximately # higher than residents living more
antigravity-1c8c189e,antigravity-bank.json,48,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,participants,the concept of embodied cognition challenges the traditional view that the mind operates like v computer processing abstract symbols independently of the body proponents argue that
antigravity-25d46ae6,antigravity-bank.json,49,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,volleyball,in v group of # athletes # play tennis # play volleyball and # play both tennis and volleyball if an athlete is selected at random what is the probability that the athlete plays te
antigravity-80c3c414,antigravity-bank.json,50,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,customer,v store offers v promotion where each customer spins v wheel divided into # equal sections three sections are labeled # off three are labeled no prize and two are labeled free item
antigravity-3e9a8802,antigravity-bank.json,51,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,tokens,v bag contains # red tokens # blue tokens and # white tokens two tokens are drawn at random without replacement what is the probability that exactly one of the two tokens is blue
antigravity-4a3198d7,antigravity-bank.json,52,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,disease,v diagnostic blood test for v rare disease has the following characteristics the disease affects # in # people in the population the test correctly identifies # of people who have 
antigravity-e1d80ee8,antigravity-bank.json,53,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,repeated,v four digit pin code is created using the digits # through # where digits may be repeated what is the probability that the pin contains at least one repeated digit
antigravity-a92e16b5,antigravity-bank.json,54,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,murano,the venetian glassblowing tradition of murano has survived for over seven centuries with master artisans passing techniques down through family lineages in recent decades however c
antigravity-37b04f69,antigravity-bank.json,55,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,earnings,economist claudia goldin v research demonstrated that the gender pay gap in the united states cannot be fully explained by differences in education experience or occupation her ana
antigravity-dac4c35b,antigravity-bank.json,56,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,superconductors,the discovery of high temperature superconductors in # generated immense excitement because earlier superconductors required cooling to near absolute zero making practical applicat
antigravity-d47a916d,antigravity-bank.json,57,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,kenyon,archaeologist kathleen kenyon v stratigraphic excavation of jericho in the #v revealed that the city v famous walls had collapsed centuries before the traditionally accepted biblic
antigravity-fd738602,antigravity-bank.json,58,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,public,urban planners in copenhagen have systematically reduced car traffic in the city center over five decades converting parking lots into public plazas and narrowing automobile lanes 
antigravity-4cf5e094,antigravity-bank.json,59,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,innovation,while researching gothic cathedral construction v student has taken the following notes the flying buttress was an architectural innovation first widely deployed in the #th century
antigravity-8956db2e,antigravity-bank.json,60,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,intermediary,while researching the economic history of the silk road v student has taken the following notes the silk road was not v single route but v network of trade corridors spanning rough
antigravity-b15a3b47,antigravity-bank.json,61,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,computers,while researching quantum computing v student has taken the following notes classical computers process information using bits which exist in one of two states # or # quantum compu
antigravity-ed31aacc,antigravity-bank.json,62,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,language,while researching the sociology of language extinction v student has taken the following notes approximately # languages are currently spoken worldwide linguists estimate that one 
antigravity-1980069c,antigravity-bank.json,63,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,renaissance,while researching renaissance patronage v student has taken the following notes the medici family of florence were among the most influential patrons of renaissance art lorenzo de 
antigravity-360ff5db,antigravity-bank.json,64,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,individual,behavioral ecologist iain couzin v computational models of fish schooling reveal that no single individual directs the collective movement of the group instead each fish follows si
antigravity-17eb3e9f,antigravity-bank.json,65,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,hieroglyphs,the rosetta stone discovered by napoleonic soldiers in # bears the same decree inscribed in three scripts hieroglyphic demotic and ancient greek because scholars could already read
antigravity-b36839f2,antigravity-bank.json,66,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,carbon,climate scientists have established that arctic permafrost contains approximately # gigatons of organic carbon nearly twice the amount currently in the atmosphere as global tempera
antigravity-f3eb473e,antigravity-bank.json,67,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,machine-produced,in traditional japanese aesthetics the concept of wabi sabi celebrates imperfection impermanence and incompleteness v handmade ceramic tea bowl with an irregular glaze and v slight
antigravity-8184c360,antigravity-bank.json,68,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,systematically,psychologist daniel kahneman v research on cognitive biases demonstrated that people systematically overweight vivid emotionally charged events when estimating risk after extensive
antigravity-25a3f266,antigravity-bank.json,69,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,enigma,while researching the history of cryptography v student has taken the following notes the enigma machine used by nazi germany during world war ii employed rotating cipher wheels to
antigravity-60aa5424,antigravity-bank.json,70,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,volcanic,while researching volcanic wine regions v student has taken the following notes vineyards planted in volcanic soils such as those on mount etna in sicily and santorini in greece ar
antigravity-a18b3bf1,antigravity-bank.json,71,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,psychology,while researching the psychology of color in marketing v student has taken the following notes research by satyendra singh # found that up to # of snap judgments about products can
antigravity-8028af15,antigravity-bank.json,72,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,chinese,while researching the philosophy of artificial intelligence v student has taken the following notes john searle v chinese room thought experiment # argues that v computer manipulat
antigravity-1e8ad242,antigravity-bank.json,73,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,reusable,while researching the economics of space exploration v student has taken the following notes nasa v apollo program cost approximately # billion in # dollars spacex v reusable falco
antigravity-6de56ca3,antigravity-bank.json,74,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,introduction,the introduction of the printing press in #th century europe dramatically reduced the cost of producing books making written knowledge accessible to v far broader segment of the po
antigravity-d3cef3d2,antigravity-bank.json,75,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,theoretical,architect zaha hadid v early career was marked by theoretical projects that went unbuilt for nearly two decades critics dismissed her radical curvilinear designs as structurally un
antigravity-b4e935ac,antigravity-bank.json,76,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,populations,marine biologist sylvia earle has long advocated for the establishment of large marine protected areas mpas as hope spots for ocean conservation studies of established mpas have sh
antigravity-4823c83d,antigravity-bank.json,77,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,studios,during the #v streaming platforms disrupted the traditional film industry model in which theatrical releases generated the majority of v film v revenue studios initially resisted t
antigravity-e7100af0,antigravity-bank.json,78,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,traditions,musicologist philip tagg has argued that western classical music theory which prioritizes harmony and notation has systematically marginalized musical traditions that emphasize rhy
antigravity-a0048db2,antigravity-bank.json,79,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,bauhaus,while researching the bauhaus art school v student has taken the following notes the bauhaus # # was founded in weimar germany by architect walter gropius its central principle was
antigravity-063e9b3f,antigravity-bank.json,80,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,ecosystems,while researching deep sea hydrothermal vents v student has taken the following notes hydrothermal vents were first discovered in # on the gal pagos rift at v depth of approximatel
antigravity-343c621b,antigravity-bank.json,81,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,united,while researching the history of timekeeping v student has taken the following notes before the railroad era each city in the united states set its own local time based on the sun 
antigravity-30d4cdfd,antigravity-bank.json,82,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,bilingualism,while researching the neuroscience of bilingualism v student has taken the following notes bilingual individuals regularly suppress one language while using the other engaging exec
antigravity-92c358ee,antigravity-bank.json,83,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,D,reviewed,public_candidate,public_candidate_reviewed,pass,,,,environmental,while researching urban farming v student has taken the following notes vertical farms grow crops in stacked indoor layers using led lighting and hydroponic water based soilless sy
antigravity-569d6fa2,antigravity-bank.json,84,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,hydrothermal,the marine biologist along with her team of graduate researchers currently analyzing water samples collected from hydrothermal vents in the mid atlantic ridge which choice complete
antigravity-1c42c4ba,antigravity-bank.json,85,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,C,reviewed,public_candidate,public_candidate_reviewed,pass,,,,negotiation,after months of negotiation the labor union finally reached an agreement with management under the new contract each employee entitled to fifteen days of paid leave annually which 
antigravity-aeee8cc3,antigravity-bank.json,86,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,immediately,the architect designed the library so that visitors entering the atrium immediately drawn to the floor to ceiling windows overlooking the sculpture garden which choice completes th
antigravity-d590a429,antigravity-bank.json,87,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,conventions,neither the ceo nor the board members willing to approve the merger without first consulting the company v antitrust legal team which choice completes the text so that it conforms 
antigravity-6a534f65,antigravity-bank.json,88,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,documentary,the documentary filmmaker spent three years in the amazon during which time she recorded the rituals of an indigenous community and their oral histories in v digital archive which 
antigravity-7e97ced8,antigravity-bank.json,89,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Hard,multiple_choice,B,reviewed,public_candidate,public_candidate_reviewed,pass,,,,conventional,renowned for innovative use of syncopation and blue notes jazz pianist thelonious monk composed pieces that challenged conventional harmonic structures and redefined the boundaries
antigravity-6fd89ab3,antigravity-bank.json,90,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Hard,multiple_choice,A,reviewed,public_candidate,public_candidate_reviewed,pass,,,,theoretically,having been raised in v multilingual household where mandarin french and arabic were spoken the linguist possessed an intuitive understanding of code switching that most of her mon
