id,bankFile,section,domain,skill,difficulty,sourceSignalId,sourceReference,practicePool,skeletonId,skeletonRank,skeletonSize,verdict,issues,prompt,correctAnswer,correctChoice
kaplan-ai-math-011,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-3af9a6ca,18,35,fail,missing_current_content_audit_version,"If 4x + 3 = 67, what is the value of x?",B,16
kaplan-ai-math-012,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-3af9a6ca,19,35,fail,missing_current_content_audit_version,"If 5x + 8 = 103, what is the value of x?",A,19
kaplan-ai-math-013,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-8364fdf4,23,38,fail,missing_current_content_audit_version,"If 6x - 6 = 24, what is the value of x?",D,5
kaplan-ai-math-014,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-8364fdf4,24,38,fail,missing_current_content_audit_version,"If 7x - 1 = 55, what is the value of x?",C,8
kaplan-ai-math-015,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-3af9a6ca,20,35,fail,missing_current_content_audit_version,"If 8x + 4 = 92, what is the value of x?",B,11
kaplan-ai-math-016,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-3af9a6ca,21,35,fail,missing_current_content_audit_version,"If 9x + 9 = 135, what is the value of x?",A,14
kaplan-ai-math-017,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-8364fdf4,25,38,fail,missing_current_content_audit_version,"If 2x - 5 = 29, what is the value of x?",D,17
kaplan-ai-math-018,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-3af9a6ca,22,35,fail,missing_current_content_audit_version,"If 3x + 0 = 9, what is the value of x?",C,3
kaplan-ai-math-019,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-3af9a6ca,23,35,fail,missing_current_content_audit_version,"If 4x + 5 = 29, what is the value of x?",B,6
kaplan-ai-math-020,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-8364fdf4,26,38,fail,missing_current_content_audit_version,"If 5x - 9 = 36, what is the value of x?",A,9
kaplan-ai-math-021,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-8364fdf4,27,38,fail,missing_current_content_audit_version,"If 6x - 4 = 68, what is the value of x?",D,12
kaplan-ai-math-022,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-3af9a6ca,24,35,fail,missing_current_content_audit_version,"If 7x + 1 = 106, what is the value of x?",C,15
kaplan-ai-math-023,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-3af9a6ca,25,35,fail,missing_current_content_audit_version,"If 8x + 6 = 150, what is the value of x?",B,18
kaplan-ai-math-024,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-8364fdf4,28,38,fail,missing_current_content_audit_version,"If 9x - 8 = 28, what is the value of x?",A,4
kaplan-ai-math-025,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-8364fdf4,29,38,fail,missing_current_content_audit_version,"If 2x - 3 = 11, what is the value of x?",D,7
kaplan-ai-math-026,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-3af9a6ca,26,35,fail,missing_current_content_audit_version,"If 3x + 2 = 32, what is the value of x?",C,10
kaplan-ai-math-027,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-3af9a6ca,27,35,fail,missing_current_content_audit_version,"If 4x + 7 = 59, what is the value of x?",B,13
kaplan-ai-math-028,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear equations in one variable,Easy,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-8364fdf4,30,38,fail,missing_current_content_audit_version,"If 5x - 7 = 73, what is the value of x?",A,16
kaplan-ai-math-029,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-c917d769,1,1,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = -2
x - y = 6

What is the value of x?",D,2
kaplan-ai-math-030,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-0a1e630c,1,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 5
x - y = 3

What is the value of x?",C,4
kaplan-ai-math-031,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-0a1e630c,2,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 12
x - y = 0

What is the value of x?",B,6
kaplan-ai-math-032,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-0a1e630c,3,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 4
x - y = 12

What is the value of x?",A,8
kaplan-ai-math-033,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-0a1e630c,4,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 11
x - y = 9

What is the value of x?",D,10
kaplan-ai-math-034,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-0a1e630c,5,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 18
x - y = 6

What is the value of x?",C,12
kaplan-ai-math-035,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,remedial_pool,skel-0a1e630c,6,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 10
x - y = 18

What is the value of x?",B,14
kaplan-ai-math-036,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,remedial_pool,skel-0a1e630c,7,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 4
x - y = 2

What is the value of x?",A,3
kaplan-ai-math-037,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-639aec69,1,3,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 11
x - y = -1

What is the value of x?",D,5
kaplan-ai-math-038,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,remedial_pool,skel-0a1e630c,8,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 3
x - y = 11

What is the value of x?",C,7
kaplan-ai-math-039,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,remedial_pool,skel-0a1e630c,9,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 10
x - y = 8

What is the value of x?",B,9
kaplan-ai-math-040,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,remedial_pool,skel-0a1e630c,10,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 17
x - y = 5

What is the value of x?",A,11
kaplan-ai-math-041,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-0a1e630c,11,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 9
x - y = 17

What is the value of x?",D,13
kaplan-ai-math-042,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-0a1e630c,12,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 3
x - y = 1

What is the value of x?",C,2
kaplan-ai-math-043,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-639aec69,2,3,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 10
x - y = -2

What is the value of x?",B,4
kaplan-ai-math-044,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-0a1e630c,13,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 2
x - y = 10

What is the value of x?",A,6
kaplan-ai-math-045,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-0a1e630c,14,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 9
x - y = 7

What is the value of x?",D,8
kaplan-ai-math-046,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-0a1e630c,15,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 16
x - y = 4

What is the value of x?",C,10
kaplan-ai-math-047,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-0a1e630c,16,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 8
x - y = 16

What is the value of x?",B,12
kaplan-ai-math-048,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-0a1e630c,17,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 15
x - y = 13

What is the value of x?",A,14
kaplan-ai-math-049,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-639aec69,3,3,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 9
x - y = -3

What is the value of x?",D,3
kaplan-ai-math-050,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-0a1e630c,18,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 1
x - y = 9

What is the value of x?",C,5
kaplan-ai-math-051,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-0a1e630c,19,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 8
x - y = 6

What is the value of x?",B,7
kaplan-ai-math-052,kaplan-sat-math-ai-bank.json,Math,Algebra,Systems of two linear equations in two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-0a1e630c,20,20,fail,missing_current_content_audit_version,"A system of equations is shown:

x + y = 15
x - y = 3

What is the value of x?",A,9
kaplan-ai-math-053,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-170d6e25,2,16,fail,missing_current_content_audit_version,Which inequality represents the solution to 2x - 7 > 1?,D,x > 4
kaplan-ai-math-054,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-170d6e25,3,16,fail,missing_current_content_audit_version,Which inequality represents the solution to 3x - 4 > 20?,C,x > 8
kaplan-ai-math-055,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-170d6e25,4,16,fail,missing_current_content_audit_version,Which inequality represents the solution to 4x - 1 > 47?,B,x > 12
kaplan-ai-math-056,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-b9e737f3,14,17,fail,missing_current_content_audit_version,Which inequality represents the solution to 5x + 2 > 82?,A,x > 16
kaplan-ai-math-057,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-b9e737f3,2,17,fail,missing_current_content_audit_version,Which inequality represents the solution to 6x + 5 > 35?,D,x > 5
kaplan-ai-math-058,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-170d6e25,13,16,fail,missing_current_content_audit_version,Which inequality represents the solution to 7x - 6 > 57?,C,x > 9
kaplan-ai-math-059,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-170d6e25,5,16,fail,missing_current_content_audit_version,Which inequality represents the solution to 2x - 3 > 23?,B,x > 13
kaplan-ai-math-060,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-b9e737f3,15,17,fail,missing_current_content_audit_version,Which inequality represents the solution to 3x + 0 > 51?,A,x > 17
kaplan-ai-math-061,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-b9e737f3,3,17,fail,missing_current_content_audit_version,Which inequality represents the solution to 4x + 3 > 27?,D,x > 6
kaplan-ai-math-062,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-b9e737f3,16,17,fail,missing_current_content_audit_version,Which inequality represents the solution to 5x + 6 > 56?,C,x > 10
kaplan-ai-math-063,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-170d6e25,14,16,fail,missing_current_content_audit_version,Which inequality represents the solution to 6x - 5 > 79?,B,x > 14
kaplan-ai-math-064,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-170d6e25,15,16,fail,missing_current_content_audit_version,Which inequality represents the solution to 7x - 2 > 124?,A,x > 18
kaplan-ai-math-065,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-b9e737f3,4,17,fail,missing_current_content_audit_version,Which inequality represents the solution to 2x + 1 > 15?,D,x > 7
kaplan-ai-math-066,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-b9e737f3,5,17,fail,missing_current_content_audit_version,Which inequality represents the solution to 3x + 4 > 37?,C,x > 11
kaplan-ai-math-067,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-170d6e25,16,16,fail,missing_current_content_audit_version,Which inequality represents the solution to 4x - 7 > 53?,B,x > 15
kaplan-ai-math-068,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,remedial_pool,skel-170d6e25,6,16,fail,missing_current_content_audit_version,Which inequality represents the solution to 5x - 4 > 16?,A,x > 4
kaplan-ai-math-069,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,remedial_pool,skel-170d6e25,7,16,fail,missing_current_content_audit_version,Which inequality represents the solution to 6x - 1 > 47?,D,x > 8
kaplan-ai-math-070,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,hidden_duplicate,skel-b9e737f3,17,17,fail,missing_current_content_audit_version,Which inequality represents the solution to 7x + 2 > 86?,C,x > 12
kaplan-ai-math-071,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,remedial_pool,skel-b9e737f3,6,17,fail,missing_current_content_audit_version,Which inequality represents the solution to 2x + 5 > 37?,B,x > 16
kaplan-ai-math-072,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear inequalities in one or two variables,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,remedial_pool,skel-170d6e25,8,16,fail,missing_current_content_audit_version,Which inequality represents the solution to 3x - 6 > 9?,A,x > 5
kaplan-ai-math-073,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-03fea896,1,1,fail,missing_current_content_audit_version,"A line passes through (-3, -5) and (1, -1). What is the slope of the line?",D,1
kaplan-ai-math-074,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-1fa815bd,1,3,fail,missing_current_content_audit_version,"A line passes through (-2, -1) and (2, 7). What is the slope of the line?",C,2
kaplan-ai-math-075,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-21d0104a,1,5,fail,missing_current_content_audit_version,"A line passes through (-1, 3) and (3, 15). What is the slope of the line?",B,3
kaplan-ai-math-076,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-e5dc674d,3,11,fail,missing_current_content_audit_version,"A line passes through (0, 7) and (4, 23). What is the slope of the line?",A,4
kaplan-ai-math-077,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-2e3fd2a2,1,6,fail,missing_current_content_audit_version,"A line passes through (1, -2) and (5, 18). What is the slope of the line?",D,5
kaplan-ai-math-078,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-e5dc674d,4,11,fail,missing_current_content_audit_version,"A line passes through (2, 2) and (6, 26). What is the slope of the line?",C,6
kaplan-ai-math-079,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-e5dc674d,5,11,fail,missing_current_content_audit_version,"A line passes through (3, 6) and (7, 34). What is the slope of the line?",B,7
kaplan-ai-math-080,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-2e3fd2a2,2,6,fail,missing_current_content_audit_version,"A line passes through (4, -3) and (8, 1). What is the slope of the line?",A,1
kaplan-ai-math-081,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-21d0104a,2,5,fail,missing_current_content_audit_version,"A line passes through (-3, 1) and (1, 9). What is the slope of the line?",D,2
kaplan-ai-math-082,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-21d0104a,3,5,fail,missing_current_content_audit_version,"A line passes through (-2, 5) and (2, 17). What is the slope of the line?",C,3
kaplan-ai-math-083,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-1fa815bd,2,3,fail,missing_current_content_audit_version,"A line passes through (-1, -4) and (3, 12). What is the slope of the line?",B,4
kaplan-ai-math-084,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,remedial_pool,skel-e5dc674d,6,11,fail,missing_current_content_audit_version,"A line passes through (0, 0) and (4, 20). What is the slope of the line?",A,5
kaplan-ai-math-085,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,remedial_pool,skel-e5dc674d,7,11,fail,missing_current_content_audit_version,"A line passes through (1, 4) and (5, 28). What is the slope of the line?",D,6
kaplan-ai-math-086,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-2e3fd2a2,3,6,fail,missing_current_content_audit_version,"A line passes through (2, -5) and (6, 23). What is the slope of the line?",C,7
kaplan-ai-math-087,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-2e3fd2a2,4,6,fail,missing_current_content_audit_version,"A line passes through (3, -1) and (7, 3). What is the slope of the line?",B,1
kaplan-ai-math-088,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,remedial_pool,skel-e5dc674d,8,11,fail,missing_current_content_audit_version,"A line passes through (4, 3) and (8, 11). What is the slope of the line?",A,2
kaplan-ai-math-089,kaplan-sat-math-ai-bank.json,Math,Algebra,Linear functions,Medium,kaplan-sat-math-prep,data/SAT-Kaplan Test Prep.pdf,core_pool,skel-21d0104a,4,5,fail,missing_current_content_audit_version,"A line passes through (-3, 7) and (1, 19). What is the slope of the line?",D,3
