id,sourceFile,sourceType,section,domain,skill,difficulty,questionType,correctAnswer,reviewStatus,visibility,publicationStatus,contentAuditVersion,contentAuditVerdict,promptWords,severity,issues,warnings,governance,topicKey,skeletonKey
antigravity-0d6d8012,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,D,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,79,pass,,,private_family_only,condition,v medical screening test for v certain condition has v sensitivity of # the probability that the test is positive given the patient has the condition and v specificity of # the pro
antigravity-d88da3ef,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,61,pass,,,private_family_only,produces,v factory has two production lines line v produces # of all items and line v produces # the defect rate for line v is # and the defect rate for line v is # if an item selected at r
antigravity-72ef374a,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,44,pass,,,private_family_only,satisfied,v company surveys # employees about job satisfaction satisfied not satisfied total full time # # # part time # # # total # # # if one employee who reported being satisfied is selec
antigravity-a30d92c8,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,D,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,29,pass,,,private_family_only,marbles,v bag contains # red marbles and # blue marbles two marbles are drawn at random without replacement what is the probability that both marbles are the same color
antigravity-25ad39d0,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,A,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,32,pass,,,private_family_only,committee,v committee of # people is to be selected at random from v group of # men and # women what is the probability that the committee includes at least one woman
antigravity-7b87211d,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,A,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,93,pass,,,private_family_only,speakers,researchers studying the sapir whorf hypothesis have found that speakers of languages with obligatory grammatical markers for evidentiality morphemes that indicate the source of v 
antigravity-edd413de,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,A,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,96,pass,,,private_family_only,shells,ocean acidification caused by the absorption of atmospheric carbon dioxide into seawater which lowers ph poses v particular threat to marine organisms that build calcium carbonate 
antigravity-afe23472,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,101,pass,,,private_family_only,acetophenone,epigenetic modifications chemical alterations to dna or its associated proteins that affect gene expression without changing the underlying genetic sequence have been observed to t
antigravity-462fd9a7,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,C,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,82,pass,,,private_family_only,companies,v # analysis of global supply chain disruptions found that companies maintaining diverse supplier networks across multiple geographic regions experienced on average # shorter recov
antigravity-d9af1aaf,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,C,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,97,pass,,,private_family_only,reorganization,neuroplasticity research has demonstrated that the adult brain retains v remarkable capacity for structural reorganization following injury studies of stroke patients who underwent
antigravity-8ad352b6,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,47,pass,,,private_family_only,basketball,in v certain school # students participate in after school activities of these # play soccer # play basketball and # play both soccer and basketball if v student is selected at ran
antigravity-82811e06,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,D,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,45,pass,,,private_family_only,dominant,v genetics researcher is studying v trait governed by v single gene with two alleles where the dominant allele v masks the recessive allele v both parents are heterozygous aa they 
antigravity-3c84efe6,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,private_family,private_reviewed,unified-strict-1600-review-2026-05-18,pass,38,pass,,,private_family_only,inspection,v quality control inspector examines products on an assembly line each product has v # chance of passing inspection independently if # products are randomly selected for inspection
antigravity-dae78e84,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,D,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,55,pass,,,private_family_only,exercises,v survey of # adults collected data on exercise habits and dietary preferences follows v diet plan no diet plan total exercises regularly # # # does not exercise # # # total # # # 
antigravity-b1ded504,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,A,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,35,pass,,,private_family_only,replacement,v standard deck of # playing cards is shuffled two cards are drawn at random without replacement what is the probability that the first card is v king and the second card is v quee
antigravity-f0dccb18,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,C,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,98,pass,,,private_family_only,impervious,the urban heat island effect in which metropolitan areas are significantly warmer than surrounding rural regions arises primarily from the replacement of vegetation with impervious
antigravity-29b4430c,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,A,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,108,pass,,,private_family_only,drivers,behavioral economists have documented v cognitive bias known as loss aversion in which individuals experience the psychological pain of losing v given amount approximately twice as
antigravity-9f76ebf7,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,A,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,102,pass,,,private_family_only,carbon-,radiocarbon dating relies on measuring the ratio of carbon # to carbon # in organic materials as carbon # decays at v known rate after an organism dies however this method assumes 
antigravity-ed99934f,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,96,pass,,,private_family_only,participants,research on circadian rhythms has revealed that exposure to blue wavelength light in the evening suppresses melatonin production more effectively than exposure to red or amber wave
antigravity-26fb5464,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,106,pass,,,private_family_only,lower-income,sociological research on educational attainment has consistently found that children from higher income families tend to perform better academically than their lower income peers v
antigravity-00ace311,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,54,pass,,,private_family_only,probability,two independent servers v and v support v website server v has v # probability of failing on any given day and server v has v # probability of failing on any given day the failures
antigravity-4737c75a,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,63,pass,,,private_family_only,performance,v researcher surveyed # college students about their preferred study method and academic performance gpa # gpa # total group study # # # solo study # # # total # # # v student is s
antigravity-054895a0,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,A,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,34,pass,,,private_family_only,replacement,v jar contains # red balls # green balls and # yellow balls three balls are drawn at random without replacement what is the probability that all three balls drawn are the same colo
antigravity-799e202c,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,56,pass,,,private_family_only,umbrella,in v certain city # of days are sunny and # are rainy on sunny days # of residents carry sunglasses and # carry an umbrella on rainy days # carry sunglasses and # carry an umbrella
antigravity-60b49d9c,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,D,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,29,pass,,,private_family_only,independently,v class of # students takes v quiz each student independently has v # probability of passing what is the expected number of students who pass the quiz
antigravity-bbf5b55e,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,D,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,91,pass,,,private_family_only,civilizations,the fermi paradox the apparent contradiction between the high probability of extraterrestrial civilizations and the lack of evidence for them has prompted numerous proposed resolut
antigravity-3fda2844,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,C,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,89,pass,,,private_family_only,plants,photosynthesis in most plants v# pathway is limited by v process called photorespiration in which the enzyme rubisco binds with oxygen instead of carbon dioxide wasting energy v# p
antigravity-a10314db,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,D,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,91,pass,,,private_family_only,health,archaeologists studying the transition from hunter gatherer to agricultural societies have noted that early farming communities in the fertile crescent show evidence of significant
antigravity-6d8314b6,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,D,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,100,pass,,,private_family_only,pollution,v study of noise pollution in urban environments found that residents living within # meters of major highways had cortisol levels approximately # higher than residents living more
antigravity-1c8c189e,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,98,pass,,,private_family_only,participants,the concept of embodied cognition challenges the traditional view that the mind operates like v computer processing abstract symbols independently of the body proponents argue that
antigravity-25d46ae6,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,C,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,40,pass,,,private_family_only,volleyball,in v group of # athletes # play tennis # play volleyball and # play both tennis and volleyball if an athlete is selected at random what is the probability that the athlete plays te
antigravity-80c3c414,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,D,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,53,pass,,,private_family_only,customer,v store offers v promotion where each customer spins v wheel divided into # equal sections three sections are labeled # off three are labeled no prize and two are labeled free item
antigravity-3e9a8802,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,34,pass,,,private_family_only,tokens,v bag contains # red tokens # blue tokens and # white tokens two tokens are drawn at random without replacement what is the probability that exactly one of the two tokens is blue
antigravity-4a3198d7,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,D,reviewed,private_family,private_reviewed,unified-strict-1600-review-2026-05-18,pass,69,pass,,,private_family_only,disease,v diagnostic blood test for v rare disease has the following characteristics the disease affects # in # people in the population the test correctly identifies # of people who have 
antigravity-e1d80ee8,antigravity-bank.json,antigravity,Math,Problem-Solving and Data Analysis,Probability and conditional probability,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,30,pass,,,private_family_only,repeated,v four digit pin code is created using the digits # through # where digits may be repeated what is the probability that the pin contains at least one repeated digit
antigravity-a92e16b5,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,D,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,83,pass,,,private_family_only,murano,the venetian glassblowing tradition of murano has survived for over seven centuries with master artisans passing techniques down through family lineages in recent decades however c
antigravity-37b04f69,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,D,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,90,pass,,,private_family_only,earnings,economist claudia goldin v research demonstrated that the gender pay gap in the united states cannot be fully explained by differences in education experience or occupation her ana
antigravity-dac4c35b,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,C,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,86,pass,,,private_family_only,superconductors,the discovery of high temperature superconductors in # generated immense excitement because earlier superconductors required cooling to near absolute zero making practical applicat
antigravity-d47a916d,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,D,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,103,pass,,,private_family_only,kenyon,archaeologist kathleen kenyon v stratigraphic excavation of jericho in the #v revealed that the city v famous walls had collapsed centuries before the traditionally accepted biblic
antigravity-fd738602,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,A,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,100,pass,,,private_family_only,public,urban planners in copenhagen have systematically reduced car traffic in the city center over five decades converting parking lots into public plazas and narrowing automobile lanes 
antigravity-4cf5e094,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,D,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,114,pass,,,private_family_only,innovation,while researching gothic cathedral construction v student has taken the following notes the flying buttress was an architectural innovation first widely deployed in the #th century
antigravity-8956db2e,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,C,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,145,pass,,,private_family_only,intermediary,while researching the economic history of the silk road v student has taken the following notes the silk road was not v single route but v network of trade corridors spanning rough
antigravity-b15a3b47,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,C,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,111,pass,,,private_family_only,computers,while researching quantum computing v student has taken the following notes classical computers process information using bits which exist in one of two states # or # quantum compu
antigravity-ed31aacc,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,128,pass,,,private_family_only,language,while researching the sociology of language extinction v student has taken the following notes approximately # languages are currently spoken worldwide linguists estimate that one 
antigravity-1980069c,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,C,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,137,pass,,,private_family_only,renaissance,while researching renaissance patronage v student has taken the following notes the medici family of florence were among the most influential patrons of renaissance art lorenzo de 
antigravity-360ff5db,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,79,pass,,,private_family_only,individual,behavioral ecologist iain couzin v computational models of fish schooling reveal that no single individual directs the collective movement of the group instead each fish follows si
antigravity-17eb3e9f,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,A,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,83,pass,,,private_family_only,hieroglyphs,the rosetta stone discovered by napoleonic soldiers in # bears the same decree inscribed in three scripts hieroglyphic demotic and ancient greek because scholars could already read
antigravity-b36839f2,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,D,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,79,pass,,,private_family_only,carbon,climate scientists have established that arctic permafrost contains approximately # gigatons of organic carbon nearly twice the amount currently in the atmosphere as global tempera
antigravity-f3eb473e,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,A,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,76,pass,,,private_family_only,machine-produced,in traditional japanese aesthetics the concept of wabi sabi celebrates imperfection impermanence and incompleteness v handmade ceramic tea bowl with an irregular glaze and v slight
antigravity-8184c360,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,A,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,80,pass,,,private_family_only,systematically,psychologist daniel kahneman v research on cognitive biases demonstrated that people systematically overweight vivid emotionally charged events when estimating risk after extensive
antigravity-25a3f266,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,132,pass,,,private_family_only,enigma,while researching the history of cryptography v student has taken the following notes the enigma machine used by nazi germany during world war ii employed rotating cipher wheels to
antigravity-60aa5424,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,A,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,131,pass,,,private_family_only,volcanic,while researching volcanic wine regions v student has taken the following notes vineyards planted in volcanic soils such as those on mount etna in sicily and santorini in greece ar
antigravity-a18b3bf1,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,C,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,159,pass,,,private_family_only,psychology,while researching the psychology of color in marketing v student has taken the following notes research by satyendra singh # found that up to # of snap judgments about products can
antigravity-8028af15,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,D,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,157,pass,,,private_family_only,chinese,while researching the philosophy of artificial intelligence v student has taken the following notes john searle v chinese room thought experiment # argues that v computer manipulat
antigravity-1e8ad242,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,140,pass,,,private_family_only,reusable,while researching the economics of space exploration v student has taken the following notes nasa v apollo program cost approximately # billion in # dollars spacex v reusable falco
antigravity-6de56ca3,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,82,pass,,,private_family_only,introduction,the introduction of the printing press in #th century europe dramatically reduced the cost of producing books making written knowledge accessible to v far broader segment of the po
antigravity-d3cef3d2,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,B,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,85,pass,,,private_family_only,theoretical,architect zaha hadid v early career was marked by theoretical projects that went unbuilt for nearly two decades critics dismissed her radical curvilinear designs as structurally un
antigravity-b4e935ac,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,multiple_choice,A,reviewed,private_family,private_auto_reviewed,antigravity-pass-bulk-review-2026-05-18,pass,95,pass,,,private_family_only,populations,marine biologist sylvia earle has long advocated for the establishment of large marine protected areas mpas as hope spots for ocean conservation studies of established mpas have sh
