id,bank,sourceType,section,domain,skill,difficulty,sourceSignalId,sourceReference,reviewStatus,templateFormId,templateFormRank,templateMaxVisible,calculationEaseScore,roundAnswerPreferred,practicePool,skeletonId,skeletonRank,skeletonSize,skeletonCoreLimit,skeletonActiveLimit,questionType,verdict,studentUse,issues,correctAnswer,correctChoice,prompt
opensat-english-13-random_id_a2,OpenSAT / PineSAT,opensat,Reading and Writing,Standard English Conventions,Boundaries,Easy,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,B,"However, the Department of State has recently warned that passport processing times may be much longer than usual.","The first two sentences of the passage describe the process of obtaining a passport. The third sentence explains why obtaining a passport is a difficult process. Which sentence should be revised to create a more coherent paragraph? The process of obtaining a passport is straightforward; you must complete an application, provide documentation, and submit your application. However, the Department of State has recently warned that passport processing times may be much longer than usual. Due to the high demand for passports, applications can take up to 14 weeks to process.

Which sentence should be revised to create a more coherent paragraph?"
opensat-english-14-34ac6b78,OpenSAT / PineSAT,opensat,Reading and Writing,Standard English Conventions,Boundaries,Medium,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,D,"The first time the young boy saw the large, white house, it felt more like an amusement park than a place to live. The house had a carousel that went all the way around, an enormous, colorful swing set, and a sandbox so big, it looked like it could hold a hundred children; the house even had a private ice cream parlor, complete with a giant ice cream cone fountain. He wondered what it would be like to live there.","The first time the young boy saw the large, white house, it felt more like an amusement park than a place to live. The house had a carousel that went all the way around, an enormous, colorful swing set, and a sandbox so big, it looked like it could hold a hundred children. The house even had a private ice cream parlor, complete with a giant ice cream cone fountain. He wondered what it would be like to live there.

Which choice best corrects the punctuation error in the passage?"
opensat-english-15-random_id_3,OpenSAT / PineSAT,opensat,Reading and Writing,Standard English Conventions,Boundaries,Easy,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,D,Color Purple,"In the 1990s, the author Alice Walker published her most famous work, _The Color Purple_, a novel about a young Black woman's journey of self-discovery.

Which choice provides the most effective punctuation for the underlined portion of the sentence?"
opensat-english-16-98b54a6e,OpenSAT / PineSAT,opensat,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Easy,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,A,create a sense of urgency and excitement.,"One of the most common ways to create a sense of urgency or excitement is to use short, choppy sentences. Short sentences can make the writing more direct and forceful. What effect does the use of short, choppy sentences have on the passage?

The use of short, choppy sentences in this passage most likely helps to"
opensat-english-17-4371a994,OpenSAT / PineSAT,opensat,Reading and Writing,Craft and Structure,Text Structure and Purpose,Medium,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,D,The brain’s ability to manage multiple languages appears to provide a cognitive reserve which protects the brain from the damaging effects of age-related decline.,"A study, published in the journal Nature, found that the brains of people who speak more than one language are different from those who speak only one language. The researchers concluded that bilingualism can protect against age-related cognitive decline and may even improve cognitive function. In the journal, the authors of the study wrote that ""The brain’s ability to manage multiple languages appears to provide a cognitive reserve, which protects the brain from the damaging effects of age-related decline.""

Which of the following is the most effective way to correct the underlined portion of this passage?"
opensat-english-18-98765432,OpenSAT / PineSAT,opensat,Reading and Writing,Expression of Ideas,Transitions,Hard,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,C,convey that the building’s design is not intended for everyday living.,"The author explains that ""the most effective way to create a physically stimulating environment is to design disorienting spaces."" This statement is supported by the fact that the filmmaker Nobu Yamaoka lived in the apartment building for four years, experiencing the disorienting design firsthand, and reported significant health benefits from his experience. However, the author acknowledges that the design is ""impractical."" The author’s use of the word ""impractical"" is most likely intended to

Which choice best explains the author’s use of the word ""impractical""?"
opensat-english-19-a12a31a3,OpenSAT / PineSAT,opensat,Reading and Writing,Standard English Conventions,Boundaries,Medium,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,C,It is particularly exciting because such a large dinosaur has never been discovered before.,"The recent discovery of a new species of dinosaur, which has been named *Dreadnoughtus* by paleontologists, is particularly exciting because it is one of the most complete skeletons of a dinosaur ever found. The skeleton, discovered in Patagonia, Argentina, includes much of the animal’s skull, neck, back, tail, and legs, and it is estimated to have been about 85 feet long and 65 tons in weight. Such a large dinosaur has never been discovered before.

Which choice provides the best way to combine the sentences at the end of the passage into a single sentence?"
opensat-english-20-f8d2c3b7,OpenSAT / PineSAT,opensat,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Easy,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,B,create a sense of urgency or importance in the reader.,"The author is trying to persuade the reader to accept a particular point of view. The author is using strong language to convince the reader that a particular idea is true, What is the most likely reason why the author uses emotional language in the following passage?

The author’s use of emotional language in the passage is most likely intended to"
opensat-english-21-random_id_b9,OpenSAT / PineSAT,opensat,Reading and Writing,Craft and Structure,Text Structure and Purpose,Hard,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,C,shifting from an objective to a subjective point of view.,"The author begins the passage by setting the scene, describing the physical environment of the town and the time of day. The author then introduces the main character, explaining her background and motivations. The author then shifts to a more direct and personal style, as the character begins to recount her experiences. How does the author shift from setting the scene to describing the character’s thoughts and feelings?

The shift in the passage from setting the scene to describing the character’s thoughts and feelings is most likely achieved by"
opensat-english-22-5456da62,OpenSAT / PineSAT,opensat,Reading and Writing,Craft and Structure,Text Structure and Purpose,Hard,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,C,emphasize the importance of the artist’s artistic choices.,"The text describes the way that the artist used lines and colors to create a specific effect on the viewer. The artist's use of lines helps to suggest a sense of motion and direction, while the colors used in the piece evoke a sense of emotion and energy. The text also mentions that the artist's use of these elements is not accidental; it is a deliberate choice that is meant to convey a specific meaning to the viewer. What is the most likely reason why the writer included information about the artist’s choices in this passage?

In the text, the writer most likely included information about the artist's choices to"
opensat-english-23-random_id_d4,OpenSAT / PineSAT,opensat,Reading and Writing,Standard English Conventions,Boundaries,Medium,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,C,"The team’s goal is to design a robot that can shake hands with a human, in order to improve human-robot interactions, and to make people feel more comfortable interacting with robots, so the robot hand must also adjust its movements and pressure to better imitate the feel of a human hand.","The team’s goal is to design a robot that can shake hands with a human, in order to improve human-robot interactions, and to make people feel more comfortable interacting with robots. But, the robot hand must also adjust its movements and pressure, to better imitate the feel of a human hand. What does this mean for the future of robotics?

Which choice provides the most effective way to combine the underlined sentences into a single sentence?"
opensat-english-24-54402e8c,OpenSAT / PineSAT,opensat,Reading and Writing,Information and Ideas,Inferences,Medium,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,B,people who have preconceived notions about a place are often unable to see it objectively.,"The text suggests that people often form an impression of a place based on what they have heard about it, rather than on what they have actually experienced for themselves. The writer states that people “sometimes…are so blinded by expectations” that they can’t “open [their] eyes” to the truth about a place. What is the most likely reason the author includes the phrase “open [their] eyes”?

In the passage, the phrase “open [their] eyes” is used to suggest that"
opensat-english-25-4567ab90,OpenSAT / PineSAT,opensat,Reading and Writing,Standard English Conventions,Boundaries,Easy,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,B,highlight the speaker’s complicated feelings.,"The author of the essay, a scholar of ancient Greek poetry, argues that Sappho’s poetry is a form of ""direct address"" because she often writes as if she is speaking directly to a person, even though the reader is not present. This technique, she argues, is one way that Sappho conveys her powerful emotions. For example, in one particularly moving poem, Sappho writes, ""I wish I could say to you—that I could say—that what I wish, that what I desire, that what I’m longing for, that what I’m searching for, that what is in my soul, could all come to pass. You would never leave me, never forget me."" However, in another poem, the poet uses a less personal, more introspective tone. ""My mind is at war, and my whole body is in a fever,"" she writes, ""because I long for you, but you, you are not here."" The author would most likely agree that this change in tone is intended to _____.

Which choice best completes the sentence?"
opensat-english-26-random_id_c7,OpenSAT / PineSAT,opensat,Reading and Writing,Standard English Conventions,Boundaries,Medium,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,D,suggest that American culture is a blend of different cultures.,"The United States is a vast country, and its diverse population makes it a melting pot of cultures. However, the country’s vast size and diverse population can also make it difficult to understand the nuances of the various cultures that exist within its borders. The most important thing to remember when interacting with people from different cultures is to be respectful and open-minded. What is the most likely reason why the writer chooses to use the phrase ""melting pot""?

The phrase ""melting pot"" is used to"
opensat-english-27-f14b4b4b,OpenSAT / PineSAT,opensat,Reading and Writing,Standard English Conventions,Boundaries,Easy,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,A,The first European settlers arrived in the area in the 1700s; they found it to be a rich agricultural region.,Which choice correctly combines the following sentences into a single sentence with a correctly placed semicolon? Sentence 1: The first European settlers arrived in the area in the 1700s. Sentence 2: They found it to be a rich agricultural region.
opensat-english-28-34f7d4e9,OpenSAT / PineSAT,opensat,Reading and Writing,Craft and Structure,Words in Context,Medium,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,B,introduce an opposing view of the topic.,"The author of the passage discusses the role of music in society, arguing that it can be used to convey emotions, create a sense of community, and inspire social change. The author notes that music can be used to express both positive and negative emotions, and that it can be used to celebrate and mourn. However, the author also suggests that music is not always used in a positive way. What is the most likely purpose of the author using the phrase ""However""?

The use of the word “However” in the passage is intended to"
opensat-english-29-564f68a7,OpenSAT / PineSAT,opensat,Reading and Writing,Information and Ideas,Inferences,Medium,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,A,The discovery of an active LINE transposon in the genomes of octopus species supports the theory that LINE transposons are a crucial part of complex cognition.,"The author of the passage is arguing that there is a relationship between the brain’s capacity for complex thought and the presence of LINE transposons in the genome. The author suggests that the finding of an active LINE transposon in the genomes of octopus species, which are known for their intelligence, could support this idea. Which choice best describes the author’s main point?

What is the author’s main point?"
opensat-english-30-random_id_eng_1,OpenSAT / PineSAT,opensat,Reading and Writing,Craft and Structure,Words in Context,Easy,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,D,show that the second sentence contradicts the first sentence.,"The author uses the word ""however"" to introduce a contrast between the first sentence and the second sentence. What is the most likely reason why the writer used the word ""however""?

In this passage, the word ""however"" is used to"
opensat-english-31-random_id_c4,OpenSAT / PineSAT,opensat,Reading and Writing,Craft and Structure,Words in Context,Medium,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,D,the best way to understand and appreciate a work of art is to view it from multiple perspectives.,"The author’s purpose in this passage is to illustrate the idea that the best way to understand and appreciate a work of art is to view it from multiple perspectives. The author accomplishes this goal by using the example of a painting, which can be interpreted differently depending on the viewer’s background and experiences. For example, the author suggests that a viewer who is familiar with the history of the painting will see it in a different light than a viewer who is not. Similarly, the author suggests that a viewer who is familiar with the symbolism of the painting will see it in a different light than a viewer who is not. The author’s use of the word ""you"" creates a sense of intimacy and connection with the reader, which can help the reader feel more engaged with the message. The author’s use of a conversational tone also helps to make the speaker seem more immediate and personal. The author refers to events and places that are familiar to the reader, which can help the reader feel more engaged with the message. What is the main idea of the passage?

The main idea of the passage is that"
opensat-english-32-99ab9469,OpenSAT / PineSAT,opensat,Reading and Writing,Information and Ideas,Central Ideas and Details,Medium,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,B,emphasis on the importance of providing students with opportunities to express themselves freely.,"The author’s central argument, that children should be encouraged to think critically and creatively, is made throughout the passage. For example, the author argues that teachers should encourage students to ask questions and challenge assumptions. The author also highlights the importance of providing students with opportunities to explore their own ideas and express themselves freely. What is the main idea of the passage?

The author's argument for encouraging critical thinking and creativity in children is made throughout the passage, as evidenced by the author's"
opensat-english-33-random_id_12,OpenSAT / PineSAT,opensat,Reading and Writing,Information and Ideas,Central Ideas and Details,Hard,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,A,create a sense of intimacy and connection with the reader.,"The author states that ""the most obvious sign that the speaker is speaking directly to the reader is the use of the word ""you."" There are other elements of the passage that may help to make the speaker seem more immediate and personal. The speaker refers to events and places that are familiar to the reader, and the speaker uses a conversational tone throughout the passage. What is the most likely reason why the writer uses the word ""you""?

In this passage, the word ""you"" is used to"
opensat-english-34-857f92ba,OpenSAT / PineSAT,opensat,Reading and Writing,Standard English Conventions,Boundaries,Easy,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,A,"A team of 200,000 people has been involved in building a new stadium for the World Cup in Qatar.","The following sentence is adapted from a news article about the history of the game of football. ""A team of 200,000 people have been involved in building a new stadium for the World Cup in Qatar."" Which choice corrects the error in the sentence?

Which choice corrects the error in the sentence?"
opensat-english-35-random_id_a7,OpenSAT / PineSAT,opensat,Reading and Writing,Standard English Conventions,Boundaries,Medium,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,B,the devices should,"The research team found that the type of exercise people prefer, whether it’s vigorous or more moderate, influences the amount of sleep they need. For example, the group who prefers vigorous exercise needs an average of 7 hours of sleep, while those who prefer moderate exercise tend to need 8. This finding suggests that, when designing sleep-tracking devices for athletes, ______ taking into account the type of training regimen athletes are following.

Which choice completes the text so that it conforms to the conventions of Standard English?"
opensat-english-36-674c28d3,OpenSAT / PineSAT,opensat,Reading and Writing,Craft and Structure,Words in Context,Easy,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,B,suggest that the writer believes music has a strong impact on people.,"The first sentence in this passage makes a claim about ""the importance of music,"" and the second sentence provides an example of how music has been used to support that claim. The text then concludes that music is ""powerful."" What is the most likely reason why the writer uses the word ""powerful""?

The author uses the word ""powerful"" to"
opensat-english-37-f45830d7,OpenSAT / PineSAT,opensat,Reading and Writing,Craft and Structure,Words in Context,Easy,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,B,show that the speaker is expressing a common opinion.,"The band had played many concerts, but their biggest show was coming up soon. The singer was worried because of a new rule that restricted how many people can attend any given concert. All those who have tickets will be allowed to enter, but no one else will be allowed. The band, of course, were worried that they would not be able to fill the venue. What is the most likely reason why the writer used the word ""of course""?

The phrase ""of course"" in this passage is most likely used to"
opensat-english-38-random_id_eng1,OpenSAT / PineSAT,opensat,Reading and Writing,Standard English Conventions,Boundaries,Easy,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,B,"The scientist discovered a new species of bacteria, and she named it after her hometown.",Which choice correctly combines the two sentences into one grammatically correct sentence? *The scientist discovered a new species of bacteria.* *She named it after her hometown.*
opensat-english-39-random_id_c1,OpenSAT / PineSAT,opensat,Reading and Writing,Standard English Conventions,Boundaries,Medium,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,A,"The scientists worked to develop a new type of artificial muscle, which would be able to contract and expand with greater speed and strength than any natural muscle.","The two sentences below are combined incorrectly. Which choice best combines the two sentences into one grammatically correct sentence? 1. The scientists worked to develop a new type of artificial muscle. 2. This artificial muscle would be able to contract and expand with greater speed and strength than any natural muscle.

Which choice best combines the two sentences into one grammatically correct sentence?"
opensat-english-40-random_id_a3,OpenSAT / PineSAT,opensat,Reading and Writing,Information and Ideas,Central Ideas and Details,Medium,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,B,The internet is a powerful tool for building relationships and creating a more connected world.,"The author’s main argument in this passage is that the internet has the potential to bring people closer together, creating a more interconnected world. They acknowledge that some people may be concerned about the negative impact of technology on relationships, but they argue that these concerns are ultimately unfounded. The author emphasizes the importance of face-to-face interaction, but they also argue that technology can help to facilitate and enhance those interactions. They conclude by suggesting that the internet is a powerful tool for building relationships and creating a more connected world. What is the central idea of this passage?

Which of the following statements best expresses the main idea of the passage?"
opensat-english-41-random_id_e4,OpenSAT / PineSAT,opensat,Reading and Writing,Standard English Conventions,Boundaries,Medium,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,C,"It is a popular tourist destination, attracting millions of visitors each year.","The Great Wall of China, one of the most impressive feats of engineering in the world, was constructed over many centuries, and it’s a popular tourist destination, attracting millions of visitors each year.

Which choice completes the sentence so that it conforms to the conventions of Standard English?"
opensat-english-42-a3c8d99a,OpenSAT / PineSAT,opensat,Reading and Writing,Information and Ideas,Central Ideas and Details,Medium,,https://pinesat.com/api/questions?section=english,needs_review,,,,,,core_pool,,,,,,multiple_choice,needs_review,usable_for_family_practice_after_source_review,external_dataset_needs_human_review,B,There are different versions of the story of the Minotaur.,"The story of the Minotaur is a classic Greek myth, but like many stories, it has different versions. In one version, the Minotaur was the son of King Minos and Pasiphae, and the result of a curse inflicted by Poseidon. In another version, the Minotaur was the offspring of a bull that Minos had promised to sacrifice to Poseidon, but then decided to keep for himself. King Minos was then punished by Poseidon when the bull impregnated Pasiphae, leading to the birth of the Minotaur. The Minotaur was eventually killed by the hero Theseus. What is the main idea of the passage?

What is the main idea of the passage?"
