id,sourceFile,sourceIndex,sourceType,section,domain,skill,difficulty,questionType,practicePool,priority,reason,severity,issues,warnings,depthFlags,explanationWords,correctExplanationWords,distractorExplanationCount,topicKey
antigravity-d9544ce9,antigravity-bank.json,2335,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,third-largest
antigravity-f502c383,antigravity-bank.json,2761,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:2_words;generic_distractor_teaching,38,2,3,countries
antigravity-145394e1,antigravity-bank.json,2429,antigravity,Reading and Writing,Expression of Ideas,Transitions,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:3_words;generic_distractor_teaching,39,3,3,commercial
antigravity-1c2b3b15,antigravity-bank.json,2663,antigravity,Reading and Writing,Information and Ideas,Command of Evidence: Textual,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:3_words;generic_distractor_teaching,39,3,3,neuroscientist
antigravity-4b6468c2,antigravity-bank.json,2096,antigravity,Reading and Writing,Craft and Structure,Words in Context,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,,thin_rw_explanation:3_words;generic_distractor_teaching,39,3,3,documents
antigravity-71555dd3,antigravity-bank.json,2762,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:3_words;generic_distractor_teaching,39,3,3,hydroelectric
antigravity-7db4b419,antigravity-bank.json,2821,antigravity,Reading and Writing,Information and Ideas,Central Ideas and Details,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,,thin_rw_explanation:3_words;generic_distractor_teaching,39,3,3,sapir-whorf
antigravity-7e7bb1d0,antigravity-bank.json,2626,antigravity,Reading and Writing,Information and Ideas,Command of Evidence: Quantitative,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:3_words;generic_distractor_teaching,39,3,3,statistical
antigravity-c0dad90c,antigravity-bank.json,2813,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:3_words;generic_distractor_teaching,39,3,3,impressionist
antigravity-c191f7c2,antigravity-bank.json,2820,antigravity,Reading and Writing,Craft and Structure,Text Structure and Purpose,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:3_words;generic_distractor_teaching,39,3,3,strongest
antigravity-c1b8121d,antigravity-bank.json,2906,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:3_words;generic_distractor_teaching,39,3,3,revolutionized
antigravity-c1e68f1e,antigravity-bank.json,2198,antigravity,Reading and Writing,Expression of Ideas,Transitions,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:3_words;generic_distractor_teaching,39,3,3,inflammation
antigravity-c3bbc2ea,antigravity-bank.json,2092,antigravity,Reading and Writing,Craft and Structure,Words in Context,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,,thin_rw_explanation:3_words;generic_distractor_teaching,39,3,3,surprisingly
antigravity-fec9e0b3,antigravity-bank.json,2095,antigravity,Reading and Writing,Craft and Structure,Words in Context,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,,thin_rw_explanation:3_words;generic_distractor_teaching,39,3,3,centuries
antigravity-03d77695,antigravity-bank.json,2180,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,communication
antigravity-07384f7a,antigravity-bank.json,2868,antigravity,Reading and Writing,Craft and Structure,Text Structure and Purpose,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,childhood
antigravity-08b8d222,antigravity-bank.json,2179,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,rachmaninoff
antigravity-099f30a7,antigravity-bank.json,2223,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,antibiotic-resistant
antigravity-0b8ff50a,antigravity-bank.json,2143,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,strategically
antigravity-0ed20feb,antigravity-bank.json,2218,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,environmental
antigravity-0f688a59,antigravity-bank.json,2074,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,redwoods
antigravity-11f2c3e1,antigravity-bank.json,1974,antigravity,Reading and Writing,Information and Ideas,Command of Evidence: Quantitative,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,achievement
antigravity-1344685f,antigravity-bank.json,2098,antigravity,Reading and Writing,Craft and Structure,Text Structure and Purpose,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,statistics
antigravity-194b519e,antigravity-bank.json,2066,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,parliaments
antigravity-22e91bc3,antigravity-bank.json,2028,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,approximately
antigravity-34f90df7,antigravity-bank.json,2818,antigravity,Reading and Writing,Expression of Ideas,Transitions,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,statistically
antigravity-39db86c0,antigravity-bank.json,1823,antigravity,Reading and Writing,Craft and Structure,Words in Context,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,increasingly
antigravity-3ae4a9c8,antigravity-bank.json,2219,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,accomplishes
antigravity-3e0b9eb7,antigravity-bank.json,2070,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,department
antigravity-46da2ce6,antigravity-bank.json,2374,antigravity,Reading and Writing,Information and Ideas,Command of Evidence: Quantitative,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,efficacy
antigravity-5612246e,antigravity-bank.json,2913,antigravity,Reading and Writing,Craft and Structure,Text Structure and Purpose,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,intersperses
antigravity-56620414,antigravity-bank.json,2341,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,consecutive
antigravity-57125ff8,antigravity-bank.json,2025,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,concentrators
antigravity-5cc5e1c8,antigravity-bank.json,1924,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,deliberation
antigravity-5cdd8677,antigravity-bank.json,2638,antigravity,Reading and Writing,Craft and Structure,Text Structure and Purpose,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,acknowledges
antigravity-67afaf3e,antigravity-bank.json,2776,antigravity,Reading and Writing,Information and Ideas,Command of Evidence: Quantitative,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,interpretation
antigravity-67f704ec,antigravity-bank.json,2091,antigravity,Reading and Writing,Expression of Ideas,Transitions,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,technically
antigravity-693107b1,antigravity-bank.json,1993,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,significant
antigravity-6f8f17a1,antigravity-bank.json,2249,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,astronauts
antigravity-731d8623,antigravity-bank.json,2593,antigravity,Reading and Writing,Expression of Ideas,Transitions,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,exceeded
antigravity-7875627e,antigravity-bank.json,1623,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,ambassadors
antigravity-7976baa7,antigravity-bank.json,1920,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,delegation
antigravity-7b1f26e2,antigravity-bank.json,1631,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,personalities
antigravity-7c61a83e,antigravity-bank.json,1520,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,prototypes
antigravity-82e0cf29,antigravity-bank.json,1628,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,photographs
antigravity-83e12864,antigravity-bank.json,2343,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,manuscript
antigravity-8f37b86c,antigravity-bank.json,2415,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,published
antigravity-9504ed06,antigravity-bank.json,2264,antigravity,Reading and Writing,Craft and Structure,Words in Context,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,conference
antigravity-9a2d5082,antigravity-bank.json,2145,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,accomplishes
antigravity-a0757b91,antigravity-bank.json,2498,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,international
antigravity-a85d86c4,antigravity-bank.json,2722,antigravity,Reading and Writing,Craft and Structure,Cross-Text Connections,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,neighborhoods
antigravity-a980a474,antigravity-bank.json,2270,antigravity,Reading and Writing,Craft and Structure,Text Structure and Purpose,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,deliberations
antigravity-aa8eed00,antigravity-bank.json,1534,antigravity,Reading and Writing,Expression of Ideas,Transitions,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,illustrations
antigravity-ac2657f5,antigravity-bank.json,2338,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,systematically
antigravity-ad873bb2,antigravity-bank.json,2137,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,conventional
antigravity-b331c049,antigravity-bank.json,2177,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,southeastern
antigravity-b4fe6f71,antigravity-bank.json,2195,antigravity,Reading and Writing,Expression of Ideas,Transitions,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,negotiations
antigravity-b5b7665b,antigravity-bank.json,1756,antigravity,Reading and Writing,Expression of Ideas,Transitions,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,significance
antigravity-bae0b0da,antigravity-bank.json,2026,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,contribution
antigravity-ca517d1a,antigravity-bank.json,2730,antigravity,Reading and Writing,Craft and Structure,Text Structure and Purpose,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,investigative
antigravity-cf1dfde7,antigravity-bank.json,2461,antigravity,Reading and Writing,Craft and Structure,Cross-Text Connections,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,international
antigravity-d4526f2b,antigravity-bank.json,2417,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,participated
antigravity-d90949d4,antigravity-bank.json,2030,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,commercialization
antigravity-dd708578,antigravity-bank.json,2352,antigravity,Reading and Writing,Expression of Ideas,Transitions,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,incorporating
antigravity-dec7ebc6,antigravity-bank.json,2418,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,documentary
antigravity-dfa163f5,antigravity-bank.json,2246,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,archaeologist
antigravity-e023a7e0,antigravity-bank.json,2146,antigravity,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,approximately
antigravity-e075d49b,antigravity-bank.json,1975,antigravity,Reading and Writing,Information and Ideas,Command of Evidence: Quantitative,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,decreased
antigravity-e6fbfa6e,antigravity-bank.json,1854,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,disinterested
antigravity-ea830c52,antigravity-bank.json,2378,antigravity,Reading and Writing,Information and Ideas,Central Ideas and Details,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,undiscovered
antigravity-f2116347,antigravity-bank.json,2072,antigravity,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,classified
antigravity-f7324fa3,antigravity-bank.json,2715,antigravity,Reading and Writing,Information and Ideas,Command of Evidence: Textual,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,d-printed
antigravity-f7cb9354,antigravity-bank.json,2370,antigravity,Reading and Writing,Information and Ideas,Command of Evidence: Quantitative,Medium,multiple_choice,core_pool,P1,generic_distractor_explanation,depth_gap,,explanation_does_not_mention_correct_answer,thin_rw_explanation:4_words;generic_distractor_teaching,40,4,3,expectancy
