skeletonId,size,coreLimit,activeLimit,corePool,remedialPool,hiddenDuplicate,difficulty,section,domain,skill,questionType,sampleId,samplePrompt,skeletonKey
skel-bd9bd4cc,10,5,10,5,5,0,Medium,Math,Geometry and Trigonometry,Area and volume,multiple_choice,kaplan-ai-math-279,"A rectangular prism has length 4, width 3, and height 2. What is its volume?","Medium|Math|Geometry and Trigonometry|Area and volume|multiple_choice|a rectangular prism has length # , width # , and height # . what is its volume ?"
skel-2b15e58c,10,5,10,5,5,0,Medium,Math,Geometry and Trigonometry,Right triangles and trigonometry,multiple_choice,kaplan-ai-math-291,"In a right triangle, an acute angle has opposite side 3 and hypotenuse 5. What is the sine of that angle?","Medium|Math|Geometry and Trigonometry|Right triangles and trigonometry|multiple_choice|in a right triangle , an acute angle has opposite side # and hypotenuse # . what is the sine of that angle ?"
skel-8364fdf4,10,3,10,3,7,0,Easy,Math,Algebra,Linear equations in one variable,multiple_choice,satking-math-028,"If 5x - 4 = 26, what is the value of x?","Easy|Math|Algebra|Linear equations in one variable|multiple_choice|if #v - # = # , what is the value of x ?"
skel-42bddf6e,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-cracking-sat-2020-prem-online-practice-test-6-answers-004,"The student editor needed two items for the grant draft presentation in room 89 after reviewing 72 records ______ a clear diagram and a short summary.

Which choice completes the text so that it conforms to the conventions of Standard English?",Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the student editor needed two items for the grant draft presentation in room # after reviewing # records ______ a clear diagram and a short summary . which choice completes the text so that it conf
skel-3cbe048a,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-cracking-sat-2020-prem-online-practice-test-6-answers-001,"The debate coach needed two items for the field report presentation in room 35 after reviewing 18 records ______ a clear diagram and a short summary.

Which choice completes the text so that it conforms to the conventions of Standard English?",Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the debate coach needed two items for the field report presentation in room # after reviewing # records ______ a clear diagram and a short summary . which choice completes the text so that it confo
skel-249ad9a3,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-cracking-sat-2020-prem-online-practice-test-6-answers-002,"The robotics team needed two items for the survey presentation in room 53 after reviewing 36 records ______ a clear diagram and a short summary.

Which choice completes the text so that it conforms to the conventions of Standard English?",Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the robotics team needed two items for the survey presentation in room # after reviewing # records ______ a clear diagram and a short summary . which choice completes the text so that it conforms t
skel-153c6051,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-2018-oct-answers-001,"By June, the astronomy club had finished week 88 of the exhibit plan after reviewing 53 records ______ by September, the data team had begun testing the results.

Which choice completes the text so that it conforms to the conventions of Standard English?","Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|by @month , the astronomy club had finished week # of the exhibit plan after reviewing # records ______ by @month , the data team had begun testing the results . which choice completes the text so "
skel-b3262841,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-2018-oct-answers-002,"By June, the garden volunteers had finished week 9 of the prototype after reviewing 71 records ______ by September, the neighborhood association had begun testing the results.

Which choice completes the text so that it conforms to the conventions of Standard English?","Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|by @month , the garden volunteers had finished week # of the prototype after reviewing # records ______ by @month , the neighborhood association had begun testing the results . which choice complet"
skel-04c9eab5,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-2018-oct-answers-003,"By June, the biology class had finished week 27 of the lab notebook after reviewing 89 records ______ by September, the lab partners had begun testing the results.

Which choice completes the text so that it conforms to the conventions of Standard English?","Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|by @month , the biology class had finished week # of the lab notebook after reviewing # records ______ by @month , the lab partners had begun testing the results . which choice completes the text s"
skel-812f7a6a,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-2018-oct-answers-004,"By June, the museum staff had finished week 45 of the data review after reviewing 17 records ______ by September, the visiting scholars had begun testing the results.

Which choice completes the text so that it conforms to the conventions of Standard English?","Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|by @month , the museum staff had finished week # of the data review after reviewing # records ______ by @month , the visiting scholars had begun testing the results . which choice completes the tex"
skel-0562256c,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-kaplan4-003,"The map update included updated charts from week 82 after reviewing 34 records ______ however, the appendix still contained the older data table.

Which choice completes the text so that it conforms to the conventions of Standard English?","Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the map update included updated charts from week # after reviewing # records ______ however , the appendix still contained the older data table . which choice completes the text so that it conforms"
skel-055badf1,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-khan-writing-no-watermark-001,"The survey included updated charts from week 29 after reviewing 58 records ______ however, the appendix still contained the older data table.

Which choice completes the text so that it conforms to the conventions of Standard English?","Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the survey included updated charts from week # after reviewing # records ______ however , the appendix still contained the older data table . which choice completes the text so that it conforms to "
skel-4baf5aec,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-khan-writing-no-watermark-003,"The grant draft included updated charts from week 65 after reviewing 94 records ______ however, the appendix still contained the older data table.

Which choice completes the text so that it conforms to the conventions of Standard English?","Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the grant draft included updated charts from week # after reviewing # records ______ however , the appendix still contained the older data table . which choice completes the text so that it conform"
skel-82303975,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-khan-writing-no-watermark-004,"The field report included updated charts from week 83 after reviewing 22 records ______ however, the appendix still contained the older data table.

Which choice completes the text so that it conforms to the conventions of Standard English?","Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the field report included updated charts from week # after reviewing # records ______ however , the appendix still contained the older data table . which choice completes the text so that it confor"
skel-a49b6c17,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-cracking-sat-2020-prem-online-practice-test-7-answers-001,"The exhibit plan included updated charts from week 77 after reviewing 73 records ______ however, the appendix still contained the older data table.

Which choice completes the text so that it conforms to the conventions of Standard English?","Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the exhibit plan included updated charts from week # after reviewing # records ______ however , the appendix still contained the older data table . which choice completes the text so that it confor"
skel-5fcba447,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-cracking-sat-2020-prem-online-practice-test-7-answers-002,"The prototype included updated charts from week 95 after reviewing 91 records ______ however, the appendix still contained the older data table.

Which choice completes the text so that it conforms to the conventions of Standard English?","Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the prototype included updated charts from week # after reviewing # records ______ however , the appendix still contained the older data table . which choice completes the text so that it conforms "
skel-1a323d6b,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-cracking-sat-2020-prem-online-practice-test-7-answers-003,"The lab notebook included updated charts from week 16 after reviewing 19 records ______ however, the appendix still contained the older data table.

Which choice completes the text so that it conforms to the conventions of Standard English?","Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the lab notebook included updated charts from week # after reviewing # records ______ however , the appendix still contained the older data table . which choice completes the text so that it confor"
skel-0826cb21,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-cracking-sat-2020-prem-online-practice-test-7-answers-004,"The data review included updated charts from week 34 after reviewing 37 records ______ however, the appendix still contained the older data table.

Which choice completes the text so that it conforms to the conventions of Standard English?","Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the data review included updated charts from week # after reviewing # records ______ however , the appendix still contained the older data table . which choice completes the text so that it conform"
skel-1fe2a38c,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-2017-05-vn-008,"The city council needed two items for the map update presentation in room 54 after reviewing 84 records ______ a clear diagram and a short summary.

Which choice completes the text so that it conforms to the conventions of Standard English?",Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the city council needed two items for the map update presentation in room # after reviewing # records ______ a clear diagram and a short summary . which choice completes the text so that it conform
skel-3af9a6ca,10,3,10,3,7,0,Easy,Math,Algebra,Linear equations in one variable,multiple_choice,archive-ai-archive-signal-2017-05-vn-009,"If 9x + 14 = 284, what is the value of x?","Easy|Math|Algebra|Linear equations in one variable|multiple_choice|if #v + # = # , what is the value of x ?"
skel-1e3c5c29,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-2019-october-us-011,"By March, the student editor had finished week 15 of the grant draft after reviewing 98 records ______ by September, the review board had begun testing the results.

Which choice completes the text so that it conforms to the conventions of Standard English?","Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|by @month , the student editor had finished week # of the grant draft after reviewing # records ______ by @month , the review board had begun testing the results . which choice completes the text s"
skel-15af3aad,10,5,10,5,5,0,Medium,Reading and Writing,Information and Ideas,Central Ideas and Details,multiple_choice,archive-ai-archive-signal-2019-october-us-005,"A 2010 study of urban tree cover surveyed 705 participants and compared 45 sites that differed in cooler sidewalks. After tracking the sites for 7 months, the researchers found that neighborhoods with more shade had lower afternoon temperatures. They concluded that local conditions can shape outcomes in ways that broad regional averages may miss.

Which choice best states the main idea of the text?","Medium|Reading and Writing|Information and Ideas|Central Ideas and Details|multiple_choice|a # study of urban tree cover surveyed # participants and compared # sites that differed in cooler sidewalks . after tracking the sites for # months , the researchers found that neighborhoo"
skel-9f2a0e62,10,5,10,5,5,0,Medium,Reading and Writing,Information and Ideas,Central Ideas and Details,multiple_choice,archive-ai-archive-signal-answer-test-10-002,"A 2018 study of school gardens surveyed 502 participants and compared 94 sites that differed in student engagement. After tracking the sites for 4 months, the researchers found that classes that maintained gardens reported more voluntary science projects. They concluded that local conditions can shape outcomes in ways that broad regional averages may miss.

Which choice best states the main idea of the text?","Medium|Reading and Writing|Information and Ideas|Central Ideas and Details|multiple_choice|a # study of school gardens surveyed # participants and compared # sites that differed in student engagement . after tracking the sites for # months , the researchers found that classes tha"
skel-85133ccd,10,5,10,5,5,0,Medium,Reading and Writing,Information and Ideas,Central Ideas and Details,multiple_choice,archive-ai-archive-signal-answer-test-10-003,"A 2022 study of library programs surveyed 503 participants and compared 91 sites that differed in community attendance. After tracking the sites for 5 months, the researchers found that evening workshops brought in patrons who rarely visited during the day. They concluded that local conditions can shape outcomes in ways that broad regional averages may miss.

Which choice best states the main idea of the text?","Medium|Reading and Writing|Information and Ideas|Central Ideas and Details|multiple_choice|a # study of library programs surveyed # participants and compared # sites that differed in community attendance . after tracking the sites for # months , the researchers found that evening"
skel-b24f6b3e,10,5,10,5,5,0,Medium,Reading and Writing,Information and Ideas,Central Ideas and Details,multiple_choice,archive-ai-archive-signal-2017-05-vn-002,"A 2018 study of public transit maps surveyed 802 participants and compared 174 sites that differed in wayfinding. After tracking the sites for 4 months, the researchers found that simplified station labels helped riders plan transfers more quickly. They concluded that local conditions can shape outcomes in ways that broad regional averages may miss.

Which choice best states the main idea of the text?","Medium|Reading and Writing|Information and Ideas|Central Ideas and Details|multiple_choice|a # study of public transit maps surveyed # participants and compared # sites that differed in wayfinding . after tracking the sites for # months , the researchers found that simplified sta"
skel-f9b2e163,10,5,10,5,5,0,Medium,Reading and Writing,Information and Ideas,Central Ideas and Details,multiple_choice,archive-ai-archive-signal-2018-03-us-003,"A 2012 study of coral restoration surveyed 878 participants and compared 121 sites that differed in reef recovery. After tracking the sites for 5 months, the researchers found that nurseries with mixed species attracted more juvenile fish. They concluded that local conditions can shape outcomes in ways that broad regional averages may miss.

Which choice best states the main idea of the text?","Medium|Reading and Writing|Information and Ideas|Central Ideas and Details|multiple_choice|a # study of coral restoration surveyed # participants and compared # sites that differed in reef recovery . after tracking the sites for # months , the researchers found that nurseries wit"
skel-b2fd358d,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-2018-april-school-day-sat-also-may-2018-international-perfect-copy-mai-004,"The garden volunteers needed two items for the prototype presentation in room 52 after reviewing 27 records ______ a clear diagram and a short summary.

Which choice completes the text so that it conforms to the conventions of Standard English?",Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the garden volunteers needed two items for the prototype presentation in room # after reviewing # records ______ a clear diagram and a short summary . which choice completes the text so that it con
skel-e6815ef2,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-2018-april-school-day-sat-also-may-2018-international-perfect-copy-mai-001,"The biology class needed two items for the lab notebook presentation in room 95 after reviewing 63 records ______ a clear diagram and a short summary.

Which choice completes the text so that it conforms to the conventions of Standard English?",Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the biology class needed two items for the lab notebook presentation in room # after reviewing # records ______ a clear diagram and a short summary . which choice completes the text so that it conf
skel-bd021637,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-2018-april-school-day-sat-also-may-2018-international-perfect-copy-mai-002,"The museum staff needed two items for the data review presentation in room 16 after reviewing 81 records ______ a clear diagram and a short summary.

Which choice completes the text so that it conforms to the conventions of Standard English?",Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the museum staff needed two items for the data review presentation in room # after reviewing # records ______ a clear diagram and a short summary . which choice completes the text so that it confor
skel-9b8c9293,10,5,10,5,5,0,Medium,Reading and Writing,Standard English Conventions,Boundaries,multiple_choice,archive-ai-archive-signal-2018-april-school-day-sat-also-may-2018-international-perfect-copy-mai-003,"The astronomy club needed two items for the exhibit plan presentation in room 34 after reviewing 99 records ______ a clear diagram and a short summary.

Which choice completes the text so that it conforms to the conventions of Standard English?",Medium|Reading and Writing|Standard English Conventions|Boundaries|multiple_choice|the astronomy club needed two items for the exhibit plan presentation in room # after reviewing # records ______ a clear diagram and a short summary . which choice completes the text so that it con
skel-2e2607f5,10,5,10,5,5,0,Medium,Reading and Writing,Information and Ideas,Central Ideas and Details,multiple_choice,archive-ai-archive-signal-2018-03-us-001,"A 2019 study of bird migration surveyed 876 participants and compared 127 sites that differed in seasonal timing. After tracking the sites for 3 months, the researchers found that tracking data showed that some birds adjusted routes after unusually warm springs. They concluded that local conditions can shape outcomes in ways that broad regional averages may miss.

Which choice best states the main idea of the text?","Medium|Reading and Writing|Information and Ideas|Central Ideas and Details|multiple_choice|a # study of bird migration surveyed # participants and compared # sites that differed in seasonal timing . after tracking the sites for # months , the researchers found that tracking data "
skel-abacf886,10,5,10,5,5,0,Medium,Reading and Writing,Information and Ideas,Central Ideas and Details,multiple_choice,archive-ai-archive-signal-2018-03-us-002,"A 2023 study of ancient pottery surveyed 877 participants and compared 124 sites that differed in trade routes. After tracking the sites for 4 months, the researchers found that chemical traces showed that clay vessels moved between distant towns. They concluded that local conditions can shape outcomes in ways that broad regional averages may miss.

Which choice best states the main idea of the text?","Medium|Reading and Writing|Information and Ideas|Central Ideas and Details|multiple_choice|a # study of ancient pottery surveyed # participants and compared # sites that differed in trade routes . after tracking the sites for # months , the researchers found that chemical traces "
skel-37c0c4c7,10,5,10,5,5,0,Medium,Reading and Writing,Information and Ideas,Central Ideas and Details,multiple_choice,archive-ai-archive-signal-2018-03-us-004,"A 2016 study of battery design surveyed 879 participants and compared 118 sites that differed in storage capacity. After tracking the sites for 6 months, the researchers found that a revised separator allowed cells to hold a charge for longer periods. They concluded that local conditions can shape outcomes in ways that broad regional averages may miss.

Which choice best states the main idea of the text?","Medium|Reading and Writing|Information and Ideas|Central Ideas and Details|multiple_choice|a # study of battery design surveyed # participants and compared # sites that differed in storage capacity . after tracking the sites for # months , the researchers found that a revised sep"
skel-8286d49e,10,8,10,8,2,0,Hard,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,multiple_choice,sat1590-math-086,The equation x^2 - 10x + 21 = 0 has two solutions. What is the positive difference between the two solutions?,Hard|Math|Advanced Math|Nonlinear equations in one variable and systems of equations in two variables|multiple_choice|the equation v^# - #v + # = # has two solutions . what is the positive difference between the two solutions ?
skel-060aae1c,10,8,10,8,2,0,Hard,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,grid_in,sat1590-math-116,"For g(x) = 5(x - 1)^2 + 2, what is g(4)?","Hard|Math|Advanced Math|Nonlinear equations in one variable and systems of equations in two variables|grid_in|for f ( v ) = # ( v - # ) ^# + # , what is v ( # ) ?"
skel-a0245b43,10,8,10,8,2,0,Hard,Math,Advanced Math,Equivalent expressions,multiple_choice,sat1590-math-137,Which expression is equivalent to (2x + 6)/2 + 1(x - 3)?,Hard|Math|Advanced Math|Equivalent expressions|multiple_choice|which expression is equivalent to ( #v + # ) / # + # ( v - # ) ?
skel-ce7e17f7,10,8,10,8,2,0,Hard,Math,Algebra,Linear equations in two variables,grid_in,sat1590-math-241,"In a coordinate geometry drill using calibration set A, the line y = 2x - 4 contains a point whose y-coordinate is 6. What is the x-coordinate of that point?","Hard|Math|Algebra|Linear equations in two variables|grid_in|in a coordinate geometry drill using calibration set @ , the line v = #v - # contains a point whose v - coordinate is # . what is the v - coordinate of that point ?"
skel-5da46c31,10,8,10,8,2,0,Hard,Math,Algebra,Linear equations in two variables,grid_in,sat1590-math-249,"In a coordinate geometry drill using calibration set I, the line y = 2x + 4 contains a point whose y-coordinate is 30. What is the x-coordinate of that point?","Hard|Math|Algebra|Linear equations in two variables|grid_in|in a coordinate geometry drill using calibration set @ , the line v = #v + # contains a point whose v - coordinate is # . what is the v - coordinate of that point ?"
skel-f42d6138,10,8,10,8,2,0,Hard,Math,Algebra,Systems of two linear equations in two variables,grid_in,sat1590-math-266,"The system 2x + 3y = 12 and x - y = 1 has solution (x, y). What is the value of x?","Hard|Math|Algebra|Systems of two linear equations in two variables|grid_in|the system #v + #v = # and v - v = # has solution ( v , v ) . what is the value of x ?"
skel-8c7b30df,10,8,10,8,2,0,Hard,Math,Algebra,Linear functions,grid_in,sat1590-math-296,A linear function h satisfies h(7) = -1 and h(12) = 39. What is the slope of the graph of y = h(x)?,Hard|Math|Algebra|Linear functions|grid_in|a linear function h satisfies v ( # ) = - # and v ( # ) = # . what is the slope of the graph of v = f ( v ) ?
skel-dd0c7e5c,10,8,10,8,2,0,Hard,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,grid_in,sat1590-math-318,"The equation x^2 - 8x + 12 = 0 has solutions a and b, where a < b. What is b - a?","Hard|Math|Advanced Math|Nonlinear equations in one variable and systems of equations in two variables|grid_in|the equation v^# - #v + # = # has solutions a and b , where v < v . what is v - v ?"
skel-31f8c17e,10,8,10,8,2,0,Hard,Math,Advanced Math,Equivalent expressions,grid_in,sat1590-math-381,"If (4x + 3)/5 = 4, what is the value of x?","Hard|Math|Advanced Math|Equivalent expressions|grid_in|if ( #v + # ) / # = # , what is the value of x ?"
skel-03db0c1d,10,8,10,8,2,0,Hard,Math,Geometry and Trigonometry,Circles,grid_in,sat1590-math-428,A circle used in a geometry model has diameter 8. What is its radius?,Hard|Math|Geometry and Trigonometry|Circles|grid_in|a circle used in a geometry model has diameter # . what is its radius ?
skel-cb8cf417,9,5,10,5,4,0,Medium,Reading and Writing,Information and Ideas,Command of Evidence: Textual,multiple_choice,archive-ai-archive-signal-hi-hello-006,"A student claims that a tutoring program involving 1110 participants had a measurable effect during a fall trial. Which finding, if true, would most directly support the claim?","Medium|Reading and Writing|Information and Ideas|Command of Evidence: Textual|multiple_choice|a student claims that a tutoring program involving # participants had a measurable effect during a fall trial . which finding , if true , would most directly support the claim ?"
skel-a6c5e7da,9,5,10,5,4,0,Medium,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,multiple_choice,archive-ai-archive-signal-ivy-global-sat-2016-009,"In a library model, the equation x^2 - 44x + 448 = 0 has two solutions. What is the greater solution?","Medium|Math|Advanced Math|Nonlinear equations in one variable and systems of equations in two variables|multiple_choice|in a library model , the equation v^# - #v + # = # has two solutions . what is the greater solution ?"
skel-f72e01e2,9,5,10,5,4,0,Medium,Math,Problem-Solving and Data Analysis,Percentages,multiple_choice,archive-ai-archive-signal-2019-may-us-sat-qas-008,"In a museum fundraiser, a price of $245 is increased by 90%. What is the new price?","Medium|Math|Problem-Solving and Data Analysis|Percentages|multiple_choice|in a museum fundraiser , a price of # is increased by # . what is the new price ?"
skel-fb9c035f,9,5,10,5,4,0,Medium,Reading and Writing,Craft and Structure,Words in Context,multiple_choice,archive-ai-archive-signal-2019-may-us-sat-qas-001,"During the lab meeting, after reviewing 17 field notes, the researcher's summary was unusually ______: it focused on steps that could be completed with the available budget.

Which choice completes the text with the most logical and precise word?","Medium|Reading and Writing|Craft and Structure|Words in Context|multiple_choice|during the lab meeting , after reviewing # field notes , the researcher's summary was unusually ______ : it focused on steps that could be completed with the available budget . which choice completes "
skel-b0b85d05,9,8,10,8,1,0,Hard,Math,Algebra,Systems of two linear equations in two variables,multiple_choice,sat1590-math-061,"The system x + 2y = 5 and 3x - y = 8 has solution (x, y). What is the value of x + y?","Hard|Math|Algebra|Systems of two linear equations in two variables|multiple_choice|the system v + #v = # and #v - v = # has solution ( v , v ) . what is the value of v + v ?"
skel-07da54a0,9,8,10,8,1,0,Hard,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,multiple_choice,sat1590-math-117,"For g(x) = 6(x - 2)^2 + 5, what is g(5)?","Hard|Math|Advanced Math|Nonlinear equations in one variable and systems of equations in two variables|multiple_choice|for f ( v ) = # ( v - # ) ^# + # , what is v ( # ) ?"
skel-40fc7a6e,9,8,10,8,1,0,Hard,Math,Problem-Solving and Data Analysis,One-variable data: distributions and measures of center and spread,grid_in,sat1590-math-396,"Four values in a data set are 9, 13, 16, and 22. If the mean of the five-value data set is 19, what is the fifth value?","Hard|Math|Problem-Solving and Data Analysis|One-variable data: distributions and measures of center and spread|grid_in|four values in a data set are # , # , # , and # . if the mean of the five - value data set is # , what is the fifth value ?"
skel-b0ad3c1d,8,5,10,5,3,0,Medium,Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,multiple_choice,archive-ai-archive-signal-ivy-global-sat-2016-045,"In a school model, the equation x^2 - 51x + 494 = 0 has two solutions. What is the greater solution?","Medium|Math|Advanced Math|Nonlinear equations in one variable and systems of equations in two variables|multiple_choice|in a school model , the equation v^# - #v + # = # has two solutions . what is the greater solution ?"
skel-bb698779,8,5,10,5,3,0,Medium,Math,Problem-Solving and Data Analysis,Percentages,multiple_choice,archive-ai-archive-signal-2019-may-us-sat-qas-020,"In a lab fundraiser, a price of $125 is increased by 65%. What is the new price?","Medium|Math|Problem-Solving and Data Analysis|Percentages|multiple_choice|in a lab fundraiser , a price of # is increased by # . what is the new price ?"
