sourceIndex,id,status,currentDomain,currentSkill,inferredDomain,inferredSkill,difficulty,correctAnswer,correctText,oldCorrectWords,oldCorrectMeetsMinimum,flagCount,flags
1179,random_id_c5,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,A,present a balanced view of the technology by highlighting both its positive and negative aspects.,24,False,0,
598,random_id_e1,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,B,part of a large and complex network of interdependence.,24,False,0,
274,random_id_english_8,safe_to_upgrade,Craft and Structure,Words in Context,Craft and Structure,Words in Context,Medium,C,emphasize the danger and uncertainty of the journey.,24,False,0,
713,a4291344,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,D,"Stark’s travels, which often took her to remote and difficult places, were always accompanied by a keen sense of adventure; she is often...",25,False,0,
1440,d79f1d90,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,A,create a sense of mystery and suspense.,25,False,0,
1393,random_id_a8,needs_metadata_or_quality_review,Expression of Ideas,Rhetorical Synthesis,Information and Ideas,Central Ideas and Details,Medium,C,The art of the photograph is a complex and challenging process.,25,False,2,domain_mismatch:Expression of Ideas->Information and Ideas;skill_mismatch:Rhetorical Synthesis->Central Ideas and Details
361,random_id_b17,needs_metadata_or_quality_review,Standard English Conventions,Boundaries,Craft and Structure,Text Structure and Purpose,Medium,C,"Researchers found that, for example, those with a larger vocabulary and more complex sentence structures tend to be more thoughtful and a...",25,False,2,domain_mismatch:Standard English Conventions->Craft and Structure;skill_mismatch:Boundaries->Text Structure and Purpose
654,random_id_c4,needs_metadata_or_quality_review,Expression of Ideas,Rhetorical Synthesis,Craft and Structure,Text Structure and Purpose,Medium,A,provide a vivid and memorable description of the setting.,25,False,2,domain_mismatch:Expression of Ideas->Craft and Structure;skill_mismatch:Rhetorical Synthesis->Text Structure and Purpose
531,213a45cf,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,A,Smart dust particles could be used to monitor the environment in ways that have never before been possible.,26,False,0,
808,832873a6,needs_metadata_or_quality_review,Craft and Structure,Text Structure and Purpose,Information and Ideas,Central Ideas and Details,Medium,A,explaining the process by which the artist creates his or her works.,26,False,2,domain_mismatch:Craft and Structure->Information and Ideas;skill_mismatch:Text Structure and Purpose->Central Ideas and Details
1069,9548887b,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,A,emphasize the scientific nature of auxin.,26,False,0,
1318,a6e26915,needs_metadata_or_quality_review,Standard English Conventions,Boundaries,Craft and Structure,Text Structure and Purpose,Medium,B,offer a detailed description of the composting process.,26,False,2,domain_mismatch:Standard English Conventions->Craft and Structure;skill_mismatch:Boundaries->Text Structure and Purpose
1180,b577194d,needs_metadata_or_quality_review,Standard English Conventions,Boundaries,Craft and Structure,Words in Context,Medium,A,emphasize the speaker's confidence.,26,False,2,domain_mismatch:Standard English Conventions->Craft and Structure;skill_mismatch:Boundaries->Words in Context
1049,e876f234,needs_metadata_or_quality_review,Standard English Conventions,Boundaries,Craft and Structure,Words in Context,Medium,C,"For example, the phrase ""in the event that"" can be replaced with the word ""if.""",26,False,2,domain_mismatch:Standard English Conventions->Craft and Structure;skill_mismatch:Boundaries->Words in Context
594,random_id_1,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,A,Scientists must be careful not to draw conclusions from data without enough information to support those conclusions.,26,False,0,
176,random_id_a1,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,A,create a sense of immediacy and urgency.,26,False,0,
325,random_id_a6,needs_metadata_or_quality_review,Information and Ideas,Inferences,Information and Ideas,Central Ideas and Details,Medium,B,a simple and repetitive melody that is effective in attracting attention and reassuring listeners.,26,False,1,skill_mismatch:Inferences->Central Ideas and Details
273,random_id_b1,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,A,"a highly accomplished violinist from Russia, she",26,False,0,
651,random_id_b10,needs_metadata_or_quality_review,Standard English Conventions,"Form, Structure, and Sense",Standard English Conventions,Boundaries,Medium,A,many,26,False,1,"skill_mismatch:Form, Structure, and Sense->Boundaries"
1373,random_id_c8,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,B,emphasize the lasting impact of the event.,26,False,0,
473,64b3e55a,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,B,show how the past affects the present.,27,False,0,
489,6e26f32e,needs_metadata_or_quality_review,Standard English Conventions,"Form, Structure, and Sense",Expression of Ideas,Transitions,Medium,B,For example,27,False,2,"domain_mismatch:Standard English Conventions->Expression of Ideas;skill_mismatch:Form, Structure, and Sense->Transitions"
266,6f45697b,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,A,people are more likely to make the wrong choice when presented with too many options.,27,False,0,
1319,7964532b,needs_metadata_or_quality_review,Information and Ideas,Inferences,Craft and Structure,Text Structure and Purpose,Medium,C,provide a balanced perspective on the internet.,27,False,2,domain_mismatch:Information and Ideas->Craft and Structure;skill_mismatch:Inferences->Text Structure and Purpose
775,8a39f125,needs_metadata_or_quality_review,Craft and Structure,Cross-Text Connections,Craft and Structure,Text Structure and Purpose,Medium,A,show how Anya's artistic vision is influenced by Tom's encouragement.,27,False,1,skill_mismatch:Cross-Text Connections->Text Structure and Purpose
73,random_id_a1,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,A,The future is unpredictable and difficult to forecast.,27,False,0,
1310,random_id_c5,needs_metadata_or_quality_review,Standard English Conventions,"Form, Structure, and Sense",Standard English Conventions,Boundaries,Medium,A,has been open,27,False,1,"skill_mismatch:Form, Structure, and Sense->Boundaries"
216,random_id_d7,needs_metadata_or_quality_review,Expression of Ideas,Transitions,Craft and Structure,Words in Context,Medium,B,To create a sense of intimacy and connection with the reader.,27,False,2,domain_mismatch:Expression of Ideas->Craft and Structure;skill_mismatch:Transitions->Words in Context
1308,random_id_e1,needs_metadata_or_quality_review,Craft and Structure,Words in Context,Expression of Ideas,Transitions,Medium,B,But,27,False,2,domain_mismatch:Craft and Structure->Expression of Ideas;skill_mismatch:Words in Context->Transitions
1256,412c942b,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,C,highlight the complex and contradictory nature of London.,28,True,0,
112,7844609b,needs_metadata_or_quality_review,Craft and Structure,Text Structure and Purpose,Craft and Structure,Words in Context,Medium,B,establish a sense of urgency and suspense.,28,True,1,skill_mismatch:Text Structure and Purpose->Words in Context
1232,b6d4475e,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,B,"The report also found that these students are more likely to go on to college, and these findings suggest that extracurricular activities...",28,True,0,
194,d849a726,needs_metadata_or_quality_review,Standard English Conventions,"Form, Structure, and Sense",Standard English Conventions,Boundaries,Medium,C,possess a tactile quality,28,True,1,"skill_mismatch:Form, Structure, and Sense->Boundaries"
601,f234a556,safe_to_upgrade,Craft and Structure,Words in Context,Craft and Structure,Words in Context,Medium,A,highlight the speaker’s past innocence.,28,True,0,
1170,f8a2932f,needs_metadata_or_quality_review,Standard English Conventions,"Form, Structure, and Sense",Standard English Conventions,Boundaries,Medium,B,who was wearing a blue dress,28,True,1,"skill_mismatch:Form, Structure, and Sense->Boundaries"
1287,f9324f89,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,C,"Once a need is identified, the next step is to come up with a solution that meets that need, and after a solution is developed, it must b...",28,True,0,
1293,random_id_1,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,A,create a mood of suspense and intrigue.,28,True,0,
972,random_id_44,safe_to_upgrade,Craft and Structure,Words in Context,Craft and Structure,Words in Context,Medium,B,introduce a contrast between two ideas.,28,True,0,
1022,random_id_8,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,A,"I’m so sorry; I don’t mean to be a bother, but I’m wondering if there’s any chance you could point me in the right direction? I’m trying...",28,True,0,
975,random_id_a1,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,B,"In the 1990s, the scientist discovered a new species of bacteria that live in the human gut. The scientist's research, which was publishe...",28,True,0,
1358,random_id_a1,needs_metadata_or_quality_review,Craft and Structure,Text Structure and Purpose,Craft and Structure,Words in Context,Medium,A,summarize the main idea of the text.,28,True,1,skill_mismatch:Text Structure and Purpose->Words in Context
286,random_id_a8,needs_metadata_or_quality_review,Standard English Conventions,"Form, Structure, and Sense",Craft and Structure,Words in Context,Medium,B,the subtle interplay of power,28,True,2,"domain_mismatch:Standard English Conventions->Craft and Structure;skill_mismatch:Form, Structure, and Sense->Words in Context"
321,random_id_a8,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,B,explain the concept of “epistemic framing” in a clear and concise way.,28,True,0,
1334,random_id_a8,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,C,convey the beauty and wonder of the natural world.,28,True,0,
1221,random_id_b8,needs_metadata_or_quality_review,Information and Ideas,Central Ideas and Details,Craft and Structure,Words in Context,Medium,C,the power of words can be very effective.,28,True,2,domain_mismatch:Information and Ideas->Craft and Structure;skill_mismatch:Central Ideas and Details->Words in Context
228,random_id_c1,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,B,To emphasize the speaker's emotional state.,28,True,0,
1010,12d8c11d,needs_metadata_or_quality_review,Standard English Conventions,Boundaries,Craft and Structure,Text Structure and Purpose,Medium,D,introduce the essay’s topic and state the central idea.,29,True,2,domain_mismatch:Standard English Conventions->Craft and Structure;skill_mismatch:Boundaries->Text Structure and Purpose
463,6c74b494,needs_metadata_or_quality_review,Information and Ideas,Central Ideas and Details,Craft and Structure,Text Structure and Purpose,Medium,C,The source’s credibility.,29,True,2,domain_mismatch:Information and Ideas->Craft and Structure;skill_mismatch:Central Ideas and Details->Text Structure and Purpose
434,6c859629,safe_to_upgrade,Information and Ideas,Inferences,Information and Ideas,Inferences,Medium,C,have a different perspective on the issue than earlier scholars did.,29,True,0,
386,random_id_d2,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,A,The author is comparing two seemingly different things to emphasize their similarities.,29,True,0,
426,random_id_e2,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,C,introduce the villagers and their welcoming nature.,29,True,0,
772,random_id_e5,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,A,"The trees all around us, though, were still; they were not rustling, and the air was thick and heavy, as if it had been holding its breat...",29,True,0,
773,12f5411d,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,A,"Astronomers use telescopes and other tools to study the movements of the planets, while physicists study the laws of gravity and motion t...",30,True,0,
985,28f37645,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,B,Learning from the experiences of others is a key element of historical fiction.,30,True,0,
137,574d5a2b,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,C,describe the rituals that the ancient Celts performed to ward off evil spirits.,30,True,0,
1196,70f2a59a,safe_to_upgrade,Information and Ideas,Inferences,Information and Ideas,Inferences,Medium,B,provide the reader with evidence to support the speaker’s claims.,30,True,0,
524,95f1ab7d,needs_metadata_or_quality_review,Information and Ideas,Central Ideas and Details,Craft and Structure,Text Structure and Purpose,Medium,B,To explain the narrator’s feelings about the trip.,30,True,2,domain_mismatch:Information and Ideas->Craft and Structure;skill_mismatch:Central Ideas and Details->Text Structure and Purpose
690,a7f2f153,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,C,the unique characteristics of the islands and their surrounding area.,30,True,0,
1278,e5b5fbdd,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,B,introduce a reason for taking time to reflect.,30,True,0,
955,f92a4381,needs_metadata_or_quality_review,Expression of Ideas,Rhetorical Synthesis,Craft and Structure,Words in Context,Medium,A,create a sense of mystery and suspense.,30,True,2,domain_mismatch:Expression of Ideas->Craft and Structure;skill_mismatch:Rhetorical Synthesis->Words in Context
527,random_id_a1,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,A,explain why communication is a complex process.,30,True,0,
429,random_id_a10,needs_metadata_or_quality_review,Standard English Conventions,"Form, Structure, and Sense",Standard English Conventions,Boundaries,Medium,A,is located,30,True,1,"skill_mismatch:Form, Structure, and Sense->Boundaries"
957,random_id_a8,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,B,"Screen time, an important part of modern life, can be a valuable learning tool.",30,True,0,
800,random_id_a9,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,A,explain the narrator's emotional journey.,30,True,0,
149,random_id_d2,safe_to_upgrade,Craft and Structure,Words in Context,Craft and Structure,Words in Context,Medium,B,create a sense of mystery and suspense.,30,True,0,
1098,random_id_e1,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,A,"The artifacts have been gathered from around the globe and are organized according to their origins, with sections devoted to ancient Egy...",30,True,0,
12,random_id_e3,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,B,The author urges teachers to adopt a more engaging approach to teaching about the environment.,30,True,0,
539,random_id_e8,needs_metadata_or_quality_review,Information and Ideas,Central Ideas and Details,Information and Ideas,Inferences,Medium,D,show how the sisters' differences make their bond even stronger.,30,True,1,skill_mismatch:Central Ideas and Details->Inferences
1124,12345678,needs_metadata_or_quality_review,Standard English Conventions,Boundaries,Craft and Structure,Words in Context,Medium,A,evoke,31,True,2,domain_mismatch:Standard English Conventions->Craft and Structure;skill_mismatch:Boundaries->Words in Context
1292,12d8c11e,needs_metadata_or_quality_review,Standard English Conventions,"Form, Structure, and Sense",Standard English Conventions,Boundaries,Medium,B,create a sense of immediacy and urgency.,31,True,1,"skill_mismatch:Form, Structure, and Sense->Boundaries"
1297,2345d987,needs_metadata_or_quality_review,Standard English Conventions,Boundaries,Information and Ideas,Inferences,Medium,A,were written in a way that the author found confusing.,31,True,2,domain_mismatch:Standard English Conventions->Information and Ideas;skill_mismatch:Boundaries->Inferences
1047,42b5c78a,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,A,"It seemed to hover effortlessly in the air and darted from one blossom to the next, its tiny wings a blur of motion.",31,True,0,
1352,45a48213,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,A,society often unfairly judges people based on their appearance.,31,True,0,
1431,60f67a8c,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,C,"Griffith’s vision was both revolutionary and highly influential, and he was constantly searching for ways to push the boundaries of the m...",31,True,0,
917,69f9d248,needs_metadata_or_quality_review,Standard English Conventions,Boundaries,Craft and Structure,Text Structure and Purpose,Medium,D,"by describing a phenomenon, discussing relevant factors, and then offering a solution.",31,True,2,domain_mismatch:Standard English Conventions->Craft and Structure;skill_mismatch:Boundaries->Text Structure and Purpose
464,6ab9173a,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,C,"But the joy of a surprise party is only felt by the person being surprised. For the rest of the people who planned and organized it, ther...",31,True,0,
964,9874239a,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,C,"However, Sarah is reluctant to accept his help, because she is proud and independent, and John tells Sarah that he understands her feelin...",31,True,0,
532,9ac321de,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,D,"This equation shows that the process of photosynthesis, which plants use to create their own food, results in the production of sugar and...",31,True,0,
55,a1696f3e,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,D,than I’ve seen in my whole life.,31,True,0,
124,f459c194,safe_to_upgrade,Information and Ideas,Inferences,Information and Ideas,Inferences,Medium,A,"examining the records of everyday life, such as personal letters, diaries, and journals.",31,True,0,
1135,random_id_a1,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,A,explain how the sport has changed over time.,31,True,0,
1340,random_id_a1,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,D,emphasize the importance of tradition in Okonkwo’s culture.,31,True,0,
36,random_id_a2,safe_to_upgrade,Craft and Structure,Words in Context,Craft and Structure,Words in Context,Medium,B,describe the speaker’s feelings and experiences.,31,True,0,
853,random_id_b3,needs_metadata_or_quality_review,Expression of Ideas,Transitions,Information and Ideas,Inferences,Medium,B,provide evidence to support the author's claim.,31,True,2,domain_mismatch:Expression of Ideas->Information and Ideas;skill_mismatch:Transitions->Inferences
779,random_id_c2,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,A,provide a more vivid and engaging explanation of photosynthesis.,31,True,0,
251,random_id_e8,needs_metadata_or_quality_review,Information and Ideas,Central Ideas and Details,Craft and Structure,Words in Context,Medium,C,despair and hopelessness in the wake of grief.,31,True,2,domain_mismatch:Information and Ideas->Craft and Structure;skill_mismatch:Central Ideas and Details->Words in Context
496,random_id_e8,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,B,"However, the journey, beginning in 1961, was a long and arduous one; many people worked tirelessly for years to get humans to the moon.",31,True,0,
727,random_id_eng_1,needs_metadata_or_quality_review,Craft and Structure,Text Structure and Purpose,Craft and Structure,Words in Context,Medium,A,create a sense of immediacy and excitement in the reader.,31,True,1,skill_mismatch:Text Structure and Purpose->Words in Context
1207,46ab1c1e,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,D,The fair weather on Thursday was a pleasant change from the storm on Wednesday.,32,True,0,
754,4a51d3b2,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,A,To establish the setting of the story.,32,True,0,
1246,54f9445a,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,C,medical students’ use of social media is problematic because it can potentially violate patient confidentiality.,32,True,0,
332,5f75c25a,needs_metadata_or_quality_review,Expression of Ideas,Rhetorical Synthesis,Craft and Structure,Words in Context,Medium,D,The speaker’s use of language is too simple and straightforward for the context.,32,True,2,domain_mismatch:Expression of Ideas->Craft and Structure;skill_mismatch:Rhetorical Synthesis->Words in Context
344,83849523,needs_metadata_or_quality_review,Expression of Ideas,Rhetorical Synthesis,Craft and Structure,Text Structure and Purpose,Medium,B,To highlight the contrast between the positive and negative aspects of memory.,32,True,2,domain_mismatch:Expression of Ideas->Craft and Structure;skill_mismatch:Rhetorical Synthesis->Text Structure and Purpose
824,876ff31a,needs_metadata_or_quality_review,Craft and Structure,Text Structure and Purpose,Craft and Structure,Words in Context,Medium,B,create a sense of drama and suspense.,32,True,1,skill_mismatch:Text Structure and Purpose->Words in Context
1142,a613bc8d,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,C,"The Industrial Revolution transformed the way people lived, worked, and interacted with each other, and these transformations continue to...",32,True,0,
437,a98b543f,safe_to_upgrade,Craft and Structure,Cross-Text Connections,Craft and Structure,Cross-Text Connections,Medium,C,reinforce the idea that music is a powerful force that unites people.,32,True,0,
432,e9451895,needs_metadata_or_quality_review,Craft and Structure,Text Structure and Purpose,Information and Ideas,Inferences,Medium,B,create a sense of shared experience and common purpose.,32,True,2,domain_mismatch:Craft and Structure->Information and Ideas;skill_mismatch:Text Structure and Purpose->Inferences
345,f4b355d6,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,C,provide evidence to support the speaker’s claim.,32,True,0,
616,f6874e8c,safe_to_upgrade,Craft and Structure,Words in Context,Craft and Structure,Words in Context,Medium,C,highlight a contrast between the two parts of the sentence.,32,True,0,
1255,random_id_a2,needs_metadata_or_quality_review,Standard English Conventions,"Form, Structure, and Sense",Standard English Conventions,Boundaries,Medium,C,several chambers,32,True,1,"skill_mismatch:Form, Structure, and Sense->Boundaries"
890,random_id_a4,safe_to_upgrade,Information and Ideas,Inferences,Information and Ideas,Inferences,Medium,B,the human brain is a powerful organ that humans do not fully understand.,32,True,0,
1259,random_id_a7,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,C,"The narrator is ambivalent about the island, feeling both drawn to and repelled by it.",32,True,0,
896,random_id_c2,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,C,Personification,32,True,0,
172,random_id_e5,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,A,there are a variety of ways to grieve.,32,True,0,
541,random_id_english_8,needs_metadata_or_quality_review,Craft and Structure,Text Structure and Purpose,Information and Ideas,Inferences,Medium,A,To emphasize the difficulty of the children's communication.,32,True,2,domain_mismatch:Craft and Structure->Information and Ideas;skill_mismatch:Text Structure and Purpose->Inferences
528,54c1b2dd,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,D,"furthermore,",33,True,0,
244,5e48c114,needs_metadata_or_quality_review,Expression of Ideas,Rhetorical Synthesis,Craft and Structure,Words in Context,Medium,A,convince the reader that a particular object is truly beautiful.,33,True,2,domain_mismatch:Expression of Ideas->Craft and Structure;skill_mismatch:Rhetorical Synthesis->Words in Context
322,645fd11a,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,C,emphasize the musician’s unique talent.,33,True,0,
200,781c312d,needs_metadata_or_quality_review,Standard English Conventions,Boundaries,Craft and Structure,Text Structure and Purpose,Medium,A,establish a sense of intimacy and connection with the reader.,33,True,2,domain_mismatch:Standard English Conventions->Craft and Structure;skill_mismatch:Boundaries->Text Structure and Purpose
1240,78f24c9a,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,A,Comma splice,33,True,0,
154,8494737c,needs_metadata_or_quality_review,Standard English Conventions,Boundaries,Information and Ideas,Central Ideas and Details,Medium,A,writing is a powerful tool for uncovering truths about the world.,33,True,2,domain_mismatch:Standard English Conventions->Information and Ideas;skill_mismatch:Boundaries->Central Ideas and Details
1243,a8c763f5,safe_to_upgrade,Expression of Ideas,Rhetorical Synthesis,Expression of Ideas,Rhetorical Synthesis,Medium,A,provide a specific example of resilience.,33,True,0,
1371,random_id_a2,needs_metadata_or_quality_review,Information and Ideas,Central Ideas and Details,Craft and Structure,Text Structure and Purpose,Medium,B,Objective,33,True,2,domain_mismatch:Information and Ideas->Craft and Structure;skill_mismatch:Central Ideas and Details->Text Structure and Purpose
884,random_id_a3,safe_to_upgrade,Standard English Conventions,Boundaries,Standard English Conventions,Boundaries,Medium,B,his game’s slow-paced thinking and in-depth planning,33,True,0,
105,random_id_a6,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,A,The novel focuses on the theme of identity and belonging in a changing world.,33,True,0,
679,random_id_a7,safe_to_upgrade,Information and Ideas,Central Ideas and Details,Information and Ideas,Central Ideas and Details,Medium,A,Paul is struggling to adjust to his new surroundings.,33,True,0,
247,random_id_c6,safe_to_upgrade,Craft and Structure,Text Structure and Purpose,Craft and Structure,Text Structure and Purpose,Medium,C,create a more immersive and engaging experience for the reader.,33,True,0,
104,random_id_e4,safe_to_upgrade,Information and Ideas,Inferences,Information and Ideas,Inferences,Medium,C,people are more connected to one another through communication.,33,True,0,
1364,random_id_e4,needs_metadata_or_quality_review,Craft and Structure,Text Structure and Purpose,Information and Ideas,Inferences,Medium,C,to provide evidence that supports the author's claims.,33,True,2,domain_mismatch:Craft and Structure->Information and Ideas;skill_mismatch:Text Structure and Purpose->Inferences
516,12d8c11d,safe_to_upgrade,Information and Ideas,Inferences,Information and Ideas,Inferences,Medium,B,"To understand the history of life on Earth, past climates, and geological events.",34,True,0,
8,22f23d12,safe_to_upgrade,Expression of Ideas,Rhetorical Synthesis,Expression of Ideas,Rhetorical Synthesis,Medium,A,demonstrate the idea’s practical application.,34,True,0,
